colnum,colname,min,max,sum,mean,median,stdev,nulls,unique,freq,len
1,id,"20160402200334-01-00","20160408211249-04-01","None","None","None","None","False","2009","{ 20160407165359-289-00: 1, 20160405124001-230-01: 1, 20160403070244-47-01: 1, 20160406140310-587-00: 1, 20160404093058-473-01: 1 }","21"
2,key,"20160402200334-01-00","20160408211249-04-01","None","None","None","None","False","2009","{ 20160407165359-289-00: 1, 20160405124001-230-01: 1, 20160403070244-47-01: 1, 20160406140310-587-00: 1, 20160404093058-473-01: 1 }","21"
3,value/rev,"1-00335cd13ccf10efda155bee7428d8cc","1-ffb3161014c12c95bd32a791d990dc0e","None","None","None","None","False","2009","{ 1-dcf7bb9fe6004d831ff0c4e7d66a8e2a: 1, 1-d0a4a377148d771050757f5d1708d955: 1, 1-5fa01149b33f5deb599ecc34a6c6610a: 1, 1-86a745807cd0bec2b5b4e7d12b5441e3: 1, 1-94e24a04732a593d2b32fb22eecd8c9a: 1 }","34"
4,doc/_id,"20160402200334-01-00","20160408211249-04-01","None","None","None","None","False","2009","{ 20160407165359-289-00: 1, 20160405124001-230-01: 1, 20160403070244-47-01: 1, 20160406140310-587-00: 1, 20160404093058-473-01: 1 }","21"
5,doc/_rev,"1-00335cd13ccf10efda155bee7428d8cc","1-ffb3161014c12c95bd32a791d990dc0e","None","None","None","None","False","2009","{ 1-dcf7bb9fe6004d831ff0c4e7d66a8e2a: 1, 1-d0a4a377148d771050757f5d1708d955: 1, 1-5fa01149b33f5deb599ecc34a6c6610a: 1, 1-86a745807cd0bec2b5b4e7d12b5441e3: 1, 1-94e24a04732a593d2b32fb22eecd8c9a: 1 }","34"
6,doc/year,"2016","2016","4050144","2016.0","2016","0.0","False","1","{ 2016: 2009 }","None"
7,doc/month,"4","4","8036","4.0","4","0.0","False","1","{ 4: 2009 }","None"
8,doc/day,"2","8","10812","5.38178198109","5","1.73537739529","False","7","{ 7: 373, 3: 333, 4: 330, 5: 328, 6: 327 }","None"
9,doc/hour,"0","23","27456","13.6665007466","14","5.16365112415","False","23","{ 7: 163, 18: 163, 9: 157, 8: 150, 16: 146 }","None"
10,doc/minute,"0","59","58275","29.0069686411","28","17.231765706","False","60","{ 44: 50, 20: 43, 21: 43, 4: 43, 8: 43 }","None"
11,doc/second,"0","59","59953","29.8422100548","30","17.0639732761","False","60","{ 46: 52, 31: 47, 22: 46, 1: 45, 41: 44 }","None"
12,doc/imagebox,"1001-01-01","9801-01-01","None","None","None","None","False","72","{ 5201-01-01: 76, 6301-01-01: 72, 4801-01-01: 72, 3401-01-01: 71, 3601-01-01: 70 }","None"
13,doc/alchemy/text,"NO_TAGS","window","None","None","None","None","False","11","{ NO_TAGS: 1071, person: 911, night: 7, abandoned: 5, hotel: 4 }","9"
14,doc/alchemy/score,"0.268941","0.999629","589.481313","0.628444896588","0.5865655","0.259613368829","True","88","{ 0.28905: 50, 0.331812: 46, 0.310026: 46, 0.354344: 41, 0.268941: 38 }","None"
15,doc/visual/image,"20160402200334-01-00.jpg","20160408211249-04-01.jpg","None","None","None","None","False","2009","{ 20160404155220-564-00.jpg: 1, 20160403144201-246-00.jpg: 1, 20160408081154-496-00.jpg: 1, 20160403073617-50-01.jpg: 1, 20160404071654-411-00.jpg: 1 }","25"
16,doc/visual/scores/0/classifier_id,"Barn","Yellow","None","None","None","None","False","25","{ Mixed_Color: 1284, Stove: 426, Dish_Washer: 84, Microwave: 54, Prison: 44 }","18"
17,doc/visual/scores/0/name,"Barn","Yellow","None","None","None","None","False","25","{ Mixed_Color: 1284, Stove: 426, Dish_Washer: 84, Microwave: 54, Prison: 44 }","18"
18,doc/visual/scores/0/score,"0.688799","0.976664","1924.372082","0.957875600796","0.96519","0.0218846622097","False","1923","{ 0.972358: 4, 0.970217: 3, 0.967101: 3, 0.968408: 3, 0.963224: 3 }","None"
19,doc/visual/scores/1/classifier_id,"Archery","Yellow","None","None","None","None","True","44","{ Stove: 936, Dish_Washer: 349, Mixed_Color: 211, Oven: 141, Microwave: 101 }","22"
20,doc/visual/scores/1/name,"Archery","Yellow","None","None","None","None","True","44","{ Stove: 936, Dish_Washer: 349, Mixed_Color: 211, Oven: 141, Microwave: 101 }","22"
21,doc/visual/scores/1/score,"0.607414","0.972093","1890.262735","0.941365903884","0.9516755","0.030803193114","True","1973","{ 0.961265: 3, 0.951109: 2, 0.925454: 2, 0.952556: 2, 0.944734: 2 }","None"
22,doc/visual/scores/2/classifier_id,"Adventure_Sport","Zoo","None","None","None","None","True","60","{ Dish_Washer: 554, Oven: 394, Stove: 335, Microwave: 195, Mixed_Color: 55 }","27"
23,doc/visual/scores/2/name,"Adventure_Sport","Zoo","None","None","None","None","True","60","{ Dish_Washer: 554, Oven: 394, Stove: 335, Microwave: 195, Mixed_Color: 55 }","27"
24,doc/visual/scores/2/score,"0.592738","0.964149","1855.442441","0.92402512002","0.9362335","0.037032978349","True","1986","{ 0.938413: 2, 0.953197: 2, 0.936943: 2, 0.938475: 2, 0.952705: 2 }","None"
25,doc/visual/scores/3/classifier_id,"Adventure_Sport","Yellow","None","None","None","None","True","69","{ Oven: 478, Dish_Washer: 354, Microwave: 295, Stove: 145, Pubbing: 59 }","27"
26,doc/visual/scores/3/name,"Adventure_Sport","Yellow","None","None","None","None","True","69","{ Oven: 478, Dish_Washer: 354, Microwave: 295, Stove: 145, Pubbing: 59 }","27"
27,doc/visual/scores/3/score,"0.589499","0.960147","1822.623579","0.907681065239","0.921085","0.0414718628065","True","1985","{ 0.933533: 3, 0.925203: 2, 0.920355: 2, 0.93904: 2, 0.926923: 2 }","None"
28,doc/visual/scores/4/classifier_id,"Airport_Terminal","Zoo","None","None","None","None","True","83","{ Microwave: 394, Oven: 328, Dish_Washer: 175, Control_Room: 140, Pubbing: 126 }","27"
29,doc/visual/scores/4/name,"Airport_Terminal","Zoo","None","None","None","None","True","83","{ Microwave: 394, Oven: 328, Dish_Washer: 175, Control_Room: 140, Pubbing: 126 }","27"
30,doc/visual/scores/4/score,"0.583151","0.95237","1781.329772","0.887116420319","0.9010265","0.0459149851715","True","1989","{ 0.92425: 2, 0.919756: 2, 0.87085: 2, 0.922297: 2, 0.898477: 2 }","None"
31,doc/visual/scores/5/classifier_id,"Adventure_Sport","Zoo","None","None","None","None","True","100","{ Control_Room: 433, Pubbing: 286, Microwave: 146, Oven: 119, Engine_or_Control_Room: 118 }","27"
32,doc/visual/scores/5/name,"Adventure_Sport","Zoo","None","None","None","None","True","100","{ Control_Room: 433, Pubbing: 286, Microwave: 146, Oven: 119, Engine_or_Control_Room: 118 }","27"
33,doc/visual/scores/5/score,"0.580925","0.937071","1726.093548","0.859608340637","0.8706995","0.0495840449475","True","1992","{ 0.880991: 3, 0.912264: 2, 0.908227: 2, 0.911408: 2, 0.869786: 2 }","None"
34,doc/visual/scores/6/classifier_id,"Adventure_Sport","Yellow","None","None","None","None","True","106","{ Control_Room: 290, Stockroom: 218, Pubbing: 213, Engine_or_Control_Room: 210, Archery: 115 }","27"
35,doc/visual/scores/6/name,"Adventure_Sport","Yellow","None","None","None","None","True","106","{ Control_Room: 290, Stockroom: 218, Pubbing: 213, Engine_or_Control_Room: 210, Archery: 115 }","27"
36,doc/visual/scores/6/score,"0.523866","0.923982","1666.618086","0.829989086653","0.840051","0.0534946853827","True","1997","{ 0.866014: 2, 0.885678: 2, 0.878846: 2, 0.85297: 2, 0.871806: 2 }","None"
37,doc/visual/scores/7/classifier_id,"Adventure_Sport","Zoo","None","None","None","None","True","124","{ Stockroom: 310, Engine_or_Control_Room: 176, Pubbing: 173, Beauty_Salon: 163, Control_Room: 155 }","27"
38,doc/visual/scores/7/name,"Adventure_Sport","Zoo","None","None","None","None","True","124","{ Stockroom: 310, Engine_or_Control_Room: 176, Pubbing: 173, Beauty_Salon: 163, Control_Room: 155 }","27"
