ALCHEMY_SCORE,ALCHEMY_TEXT,DAY,HOUR,IMAGEBOX,MINUTE,MONTH,SECOND,VISUAL_IMAGE,YEAR,_ID,_REV
,NO_TAGS,02,20,58x64+286+78,03,04,34,20160402200334-01-00.jpg,2016,20160402200334-01-00,1-3ed2d83d8a10852df3c82c6d2ee0363b
,NO_TAGS,02,20,64x70+282+72,09,04,42,20160402200942-02-01.jpg,2016,20160402200942-02-01,1-6f4ec31d2b10028b8e0c09257f72dc46
,NO_TAGS,02,20,62x64+284+76,20,04,02,20160402202002-03-00.jpg,2016,20160402202002-03-00,1-8fadc32e7b49b6e22167659f8e41cc75
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830
,NO_TAGS,02,20,52x50+510+246,21,04,16,20160402202116-05-01.jpg,2016,20160402202116-05-01,1-46f77403a33355fdc4a5e4c8a718c69b
,NO_TAGS,02,20,58x70+284+74,43,04,31,20160402204331-06-00.jpg,2016,20160402204331-06-00,1-0c2b8332f09b6117d0180d6713848cd1
,NO_TAGS,02,20,60x68+282+74,45,04,21,20160402204521-07-01.jpg,2016,20160402204521-07-01,1-9ec30f153989b6a103153f8d7b80bfdf
,NO_TAGS,02,20,60x70+284+72,46,04,12,20160402204612-08-00.jpg,2016,20160402204612-08-00,1-5ac24c2995ea503a86dd1e453b7a76d8
,NO_TAGS,02,20,62x68+282+74,52,04,55,20160402205255-09-00.jpg,2016,20160402205255-09-00,1-2323b2e3826df89b2dfac369d97b6f52
0.989013,person,02,20,466x478+88+0,55,04,30,20160402205530-10-00.jpg,2016,20160402205530-10-00,1-8d7148b3929d72a0d4c7c77ef08fbb4d
,NO_TAGS,02,20,104x160+416+202,56,04,01,20160402205601-11-01.jpg,2016,20160402205601-11-01,1-de2d082317930d9a6a05507f8e2386fe
,NO_TAGS,02,21,38x60+386+214,02,04,11,20160402210211-12-00.jpg,2016,20160402210211-12-00,1-3e89f4ad08cca0d9df6df0442e6482d5
0.28905,person,02,21,586x278+56+160,03,04,13,20160402210313-13-00.jpg,2016,20160402210313-13-00,1-1fdce69c66d8f58b7b88c2f43eab5213
,NO_TAGS,02,21,76x44+232+176,08,04,09,20160402210809-14-00.jpg,2016,20160402210809-14-00,1-98abae7ec407a89d675b6126ed3c6f81
,NO_TAGS,02,21,52x38+234+178,08,04,36,20160402210836-15-00.jpg,2016,20160402210836-15-00,1-5fc644ed96ec183d47752bdeef7bf7a7
,NO_TAGS,02,21,146x396+100+82,10,04,03,20160402211003-16-00.jpg,2016,20160402211003-16-00,1-53a7123c3735005533191212b3526a17
,NO_TAGS,02,21,48x58+452+310,10,04,57,20160402211057-17-01.jpg,2016,20160402211057-17-01,1-1934ecf18ae32d87044466fe0ace4e77
0.450166,person,02,21,528x434+56+44,13,04,13,20160402211313-18-00.jpg,2016,20160402211313-18-00,1-43c6a3975963edc8a1051d2f010d7942
0.377541,person,02,21,34x44+412+234,18,04,31,20160402211831-19-00.jpg,2016,20160402211831-19-00,1-ef16102c32eaddd6712d941a643207d1
0.331812,person,02,21,58x48+102+204,19,04,08,20160402211908-20-01.jpg,2016,20160402211908-20-01,1-8bf30d883a9640f542d4b579ca05f3d2
,NO_TAGS,02,21,496x288+76+94,21,04,29,20160402212129-21-01.jpg,2016,20160402212129-21-01,1-bea02f3511580a80ff5e1c4a5e69d71d
