ALCHEMY_SCORE,ALCHEMY_TEXT,DAY,HOUR,IMAGEBOX,MINUTE,MONTH,SECOND,VISUAL_IMAGE,YEAR,_ID,_REV,ARRAY_INDEX,CLASSIFIER_ID,NAME,SCORE,_ID
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,12,Cliff_Diving,Cliff_Diving,0.52804,20160402202056-04-01
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,11,Gray,Gray,0.629954,20160402202056-04-01
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,10,Prison,Prison,0.641364,20160402202056-04-01
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,9,Home_Theater,Home_Theater,0.649173,20160402202056-04-01
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,8,Bowling_Alley,Bowling_Alley,0.692234,20160402202056-04-01
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,7,Military_Plane,Military_Plane,0.737733,20160402202056-04-01
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,6,Gazebo,Gazebo,0.771617,20160402202056-04-01
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,5,Refrigerator,Refrigerator,0.808614,20160402202056-04-01
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,4,Hang_Gliding,Hang_Gliding,0.828202,20160402202056-04-01
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,3,Musical_Instrument,Musical_Instrument,0.833912,20160402202056-04-01
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,2,Piano,Piano,0.859816,20160402202056-04-01
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,1,Black,Black,0.959251,20160402202056-04-01
,NO_TAGS,02,20,64x74+282+70,20,04,56,20160402202056-04-01.jpg,2016,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,0,Night_Sky,Night_Sky,0.960483,20160402202056-04-01
0.989013,person,02,20,466x478+88+0,55,04,30,20160402205530-10-00.jpg,2016,20160402205530-10-00,1-8d7148b3929d72a0d4c7c77ef08fbb4d,16,Store,Store,0.505601,20160402205530-10-00
0.989013,person,02,20,466x478+88+0,55,04,30,20160402205530-10-00.jpg,2016,20160402205530-10-00,1-8d7148b3929d72a0d4c7c77ef08fbb4d,15,Living_Room,Living_Room,0.513769,20160402205530-10-00
0.989013,person,02,20,466x478+88+0,55,04,30,20160402205530-10-00.jpg,2016,20160402205530-10-00,1-8d7148b3929d72a0d4c7c77ef08fbb4d,14,Industrial_Space,Industrial_Space,0.524487,20160402205530-10-00
0.989013,person,02,20,466x478+88+0,55,04,30,20160402205530-10-00.jpg,2016,20160402205530-10-00,1-8d7148b3929d72a0d4c7c77ef08fbb4d,13,Adventure_Sport,Adventure_Sport,0.554269,20160402205530-10-00
