ALCHEMY_SCORE,ALCHEMY_TEXT,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SEQNO,IMAGEBOX,STATUS,STATUSINFO,TOTALTRANSACTIONS,URL,USAGE,VISUAL_IMAGE,_ID,_REV
,NO_TAGS,2016,03,30,12,46,54,02-00,42x108+150+278,,,,,,20160330124654-02-00.jpg,20160330124654-02-00,1-3e0527f2c49147b9b3884143526b6420
,NO_TAGS,2016,03,30,12,46,00,01-01,58x60+266+136,,,,,,20160330124600-01-01.jpg,20160330124600-01-01,1-7e5cec8d30ada6caf22804bab0c0d835
,NO_TAGS,2016,03,30,12,53,10,06-00,30x94+502+82,,,,,,20160330125310-06-00.jpg,20160330125310-06-00,1-39123c2dda41e607fa373af212657477
0.985226,person,2016,03,30,13,21,01,38-00,70x44+360+82,,,,,,20160330132101-38-00.jpg,20160330132101-38-00,1-b5ac00adceafb827d9a9bf15b4fd605c
,NO_TAGS,2016,03,30,12,47,28,03-01,232x104+244+126,,,,,,20160330124728-03-01.jpg,20160330124728-03-01,1-a0f91999b4cfc823388126d82294be45
0.930862,person,2016,03,30,12,51,42,05-01,78x50+298+164,,,,,,20160330125142-05-01.jpg,20160330125142-05-01,1-b5b055cb5094f5ca95719a4e3bbc00f9
0.858149,person,2016,03,30,13,01,35,13-00,48x88+384+126,,,,,,20160330130135-13-00.jpg,20160330130135-13-00,1-ac0a0fe92e3774d53074b5157555fe8e
,NO_TAGS,2016,03,30,15,23,14,01-01,40x124+220+160,,,,,,20160330152314-01-01.jpg,20160330152314-01-01,1-ba87f4c9b8920d88681d9adc34b6c74d
0.710949,person,2016,03,30,13,04,57,19-00,60x70+368+140,,,,,,20160330130457-19-00.jpg,20160330130457-19-00,1-5a1225b7e4c5d3bf3c024b1c41acc4ea
0.645656,person,2016,03,30,13,20,07,36-01,40x74+370+128,,,,,,20160330132007-36-01.jpg,20160330132007-36-01,1-f4e60ffa2a0e54881e4f13e703de28c2
0.450166,person,2016,03,30,12,53,57,07-00,46x124+416+114,,,,,,20160330125357-07-00.jpg,20160330125357-07-00,1-fdcd90be6a0c24cd9ceffd95ecde45de
0.924142,person,2016,03,30,12,59,26,11-01,60x64+338+140,,,,,,20160330125926-11-01.jpg,20160330125926-11-01,1-d111a1eb7335ff85ccb38cf56a4c0538
,NO_TAGS,2016,03,30,12,50,00,04-00,384x314+174+118,,,,,,20160330125000-04-00.jpg,20160330125000-04-00,1-723e824c806f6be0e22eadce45dbf291
,NO_TAGS,2016,03,30,12,55,48,08-01,22x124+498+64,,,,,,20160330125548-08-01.jpg,20160330125548-08-01,1-deb1620565da190794bec68ff1a8d08c
0.993307,person,2016,03,30,13,13,56,29-01,58x58+228+180,,,,,,20160330131356-29-01.jpg,20160330131356-29-01,1-8b231a7b2b7758f7558d38c8e021acc2
0.689974,person,2016,03,30,13,20,23,37-01,28x70+366+126,,,,,,20160330132023-37-01.jpg,20160330132023-37-01,1-1aa59dc3f8fd3595e6d68eaa16e1e1dd
0.924142,person,2016,03,30,13,02,52,15-00,46x38+376+90,,,,,,20160330130252-15-00.jpg,20160330130252-15-00,1-c580480bf0bc0303cd665375d5ff0098
0.978119,person,2016,03,30,12,57,53,10-00,60x70+332+146,,,,,,20160330125753-10-00.jpg,20160330125753-10-00,1-aee1b2a71745549e78d60ffdd9208b37
0.982014,person,2016,03,30,15,45,42,07-00,50x128+398+92,,,,,,20160330154542-07-00.jpg,20160330154542-07-00,1-a469ce2138409bcc14aced1e2374bbd2
0.880797,person,2016,03,30,13,00,30,12-01,40x64+358+140,,,,,,20160330130030-12-01.jpg,20160330130030-12-01,1-3f2b6f418cc773554b8c2a810588e730
0.880797,person,2016,03,30,13,04,31,18-01,68x58+360+160,,,,,,20160330130431-18-01.jpg,20160330130431-18-01,1-e1744c7c447ccebc9f72d3eab67fb61e
0.598688,person,2016,03,30,13,07,02,22-01,48x54+380+82,,,,,,20160330130702-22-01.jpg,20160330130702-22-01,1-7d657380cf5977c5b3d337b3a431ab40
0.916827,person,2016,03,30,15,47,24,09-01,48x44+378+180,,,,,,20160330154724-09-01.jpg,20160330154724-09-01,1-e5133bb035cbd4749f95342bad4b3905
0.524979,person,2016,03,30,13,06,25,20-01,80x68+328+136,,,,,,20160330130625-20-01.jpg,20160330130625-20-01,1-7af6fc075c298f5cfca7c6f7552f81f5
0.952574,person,2016,03,30,13,30,52,46-01,38x60+350+132,,,,,,20160330133052-46-01.jpg,20160330133052-46-01,1-d4c72a59bcc9ba5ad9e3a5ee59e4f7c6
0.710949,person,2016,03,30,13,08,10,24-01,74x78+360+130,,,,,,20160330130810-24-01.jpg,20160330130810-24-01,1-ab4fa34d9d5357a793984577b9d21f79
0.645656,person,2016,03,30,13,22,42,40-00,38x94+378+124,,,,,,20160330132242-40-00.jpg,20160330132242-40-00,1-0cfd2d11abdb2897e9ef91be778ee314
