ARRAY_INDEX,CLASSIFIER_ID,NAME,SCORE,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SEQNO,_ID
14,Auto_Track_Racing,Auto_Track_Racing,0.514261,2016,03,30,12,46,54,02-00,20160330124654-02-00
13,Appliance,Appliance,0.524613,2016,03,30,12,46,54,02-00,20160330124654-02-00
12,Car_Repair_Shop,Car_Repair_Shop,0.573521,2016,03,30,12,46,54,02-00,20160330124654-02-00
11,Beauty_Salon,Beauty_Salon,0.591395,2016,03,30,12,46,54,02-00,20160330124654-02-00
10,Engine_or_Control_Room,Engine_or_Control_Room,0.641989,2016,03,30,12,46,54,02-00,20160330124654-02-00
9,Table_Tennis,Table_Tennis,0.695307,2016,03,30,12,46,54,02-00,20160330124654-02-00
8,Riot,Riot,0.775891,2016,03,30,12,46,54,02-00,20160330124654-02-00
7,Stockroom,Stockroom,0.843733,2016,03,30,12,46,54,02-00,20160330124654-02-00
6,Control_Room,Control_Room,0.88257,2016,03,30,12,46,54,02-00,20160330124654-02-00
5,Microwave,Microwave,0.922542,2016,03,30,12,46,54,02-00,20160330124654-02-00
4,Dish_Washer,Dish_Washer,0.925556,2016,03,30,12,46,54,02-00,20160330124654-02-00
3,Oven,Oven,0.943002,2016,03,30,12,46,54,02-00,20160330124654-02-00
2,Pubbing,Pubbing,0.944661,2016,03,30,12,46,54,02-00,20160330124654-02-00
1,Stove,Stove,0.953068,2016,03,30,12,46,54,02-00,20160330124654-02-00
0,Mixed_Color,Mixed_Color,0.969267,2016,03,30,12,46,54,02-00,20160330124654-02-00
12,Appliance,Appliance,0.529651,2016,03,30,12,46,00,01-01,20160330124600-01-01
11,Engine_Room,Engine_Room,0.546509,2016,03,30,12,46,00,01-01,20160330124600-01-01
10,Riot,Riot,0.703967,2016,03,30,12,46,00,01-01,20160330124600-01-01
9,Table_Tennis,Table_Tennis,0.786243,2016,03,30,12,46,00,01-01,20160330124600-01-01
8,Stockroom,Stockroom,0.786985,2016,03,30,12,46,00,01-01,20160330124600-01-01
7,Engine_or_Control_Room,Engine_or_Control_Room,0.797845,2016,03,30,12,46,00,01-01,20160330124600-01-01
6,Control_Room,Control_Room,0.844275,2016,03,30,12,46,00,01-01,20160330124600-01-01
5,Bottled_Water,Bottled_Water,0.905854,2016,03,30,12,46,00,01-01,20160330124600-01-01
4,Oven,Oven,0.918884,2016,03,30,12,46,00,01-01,20160330124600-01-01
3,Pubbing,Pubbing,0.932051,2016,03,30,12,46,00,01-01,20160330124600-01-01
2,Dish_Washer,Dish_Washer,0.946289,2016,03,30,12,46,00,01-01,20160330124600-01-01
1,Stove,Stove,0.9644,2016,03,30,12,46,00,01-01,20160330124600-01-01
0,Mixed_Color,Mixed_Color,0.972199,2016,03,30,12,46,00,01-01,20160330124600-01-01
14,Appliance,Appliance,0.50907,2016,03,30,12,53,10,06-00,20160330125310-06-00
13,Snooker,Snooker,0.522697,2016,03,30,12,53,10,06-00,20160330125310-06-00
12,Engine_Room,Engine_Room,0.567648,2016,03,30,12,53,10,06-00,20160330125310-06-00
11,Engine_or_Control_Room,Engine_or_Control_Room,0.633806,2016,03,30,12,53,10,06-00,20160330125310-06-00
10,Beauty_Salon,Beauty_Salon,0.68259,2016,03,30,12,53,10,06-00,20160330125310-06-00
9,Table_Tennis,Table_Tennis,0.764687,2016,03,30,12,53,10,06-00,20160330125310-06-00
8,Stockroom,Stockroom,0.836961,2016,03,30,12,53,10,06-00,20160330125310-06-00
7,Riot,Riot,0.841977,2016,03,30,12,53,10,06-00,20160330125310-06-00
6,Control_Room,Control_Room,0.882184,2016,03,30,12,53,10,06-00,20160330125310-06-00
5,Microwave,Microwave,0.915121,2016,03,30,12,53,10,06-00,20160330125310-06-00
4,Dish_Washer,Dish_Washer,0.928297,2016,03,30,12,53,10,06-00,20160330125310-06-00
3,Pubbing,Pubbing,0.939633,2016,03,30,12,53,10,06-00,20160330125310-06-00
2,Stove,Stove,0.948736,2016,03,30,12,53,10,06-00,20160330125310-06-00
1,Oven,Oven,0.957596,2016,03,30,12,53,10,06-00,20160330125310-06-00
0,Mixed_Color,Mixed_Color,0.969464,2016,03,30,12,53,10,06-00,20160330125310-06-00
15,Appliance,Appliance,0.512157,2016,03,30,13,21,01,38-00,20160330132101-38-00
14,Table_Tennis,Table_Tennis,0.550211,2016,03,30,13,21,01,38-00,20160330132101-38-00
13,Archery,Archery,0.553609,2016,03,30,13,21,01,38-00,20160330132101-38-00
12,Engine_or_Control_Room,Engine_or_Control_Room,0.651092,2016,03,30,13,21,01,38-00,20160330132101-38-00
11,Industrial_Space,Industrial_Space,0.654104,2016,03,30,13,21,01,38-00,20160330132101-38-00
10,Distillery,Distillery,0.69471,2016,03,30,13,21,01,38-00,20160330132101-38-00
9,Car_Repair_Shop,Car_Repair_Shop,0.755653,2016,03,30,13,21,01,38-00,20160330132101-38-00
8,Riot,Riot,0.813894,2016,03,30,13,21,01,38-00,20160330132101-38-00
7,Stockroom,Stockroom,0.855499,2016,03,30,13,21,01,38-00,20160330132101-38-00
6,Engine_Room,Engine_Room,0.875581,2016,03,30,13,21,01,38-00,20160330132101-38-00
5,Pubbing,Pubbing,0.901592,2016,03,30,13,21,01,38-00,20160330132101-38-00
4,Toaster,Toaster,0.910843,2016,03,30,13,21,01,38-00,20160330132101-38-00
3,Dish_Washer,Dish_Washer,0.922369,2016,03,30,13,21,01,38-00,20160330132101-38-00
2,Oven,Oven,0.95783,2016,03,30,13,21,01,38-00,20160330132101-38-00
1,Stove,Stove,0.966886,2016,03,30,13,21,01,38-00,20160330132101-38-00
0,Mixed_Color,Mixed_Color,0.973819,2016,03,30,13,21,01,38-00,20160330132101-38-00
13,Appliance,Appliance,0.524486,2016,03,30,12,47,28,03-01,20160330124728-03-01
12,Car_Repair_Shop,Car_Repair_Shop,0.726077,2016,03,30,12,47,28,03-01,20160330124728-03-01
11,Engine_Room,Engine_Room,0.737986,2016,03,30,12,47,28,03-01,20160330124728-03-01
10,Engine_or_Control_Room,Engine_or_Control_Room,0.740159,2016,03,30,12,47,28,03-01,20160330124728-03-01
9,Riot,Riot,0.764061,2016,03,30,12,47,28,03-01,20160330124728-03-01
8,Table_Tennis,Table_Tennis,0.821452,2016,03,30,12,47,28,03-01,20160330124728-03-01
7,Stockroom,Stockroom,0.840676,2016,03,30,12,47,28,03-01,20160330124728-03-01
6,Microwave,Microwave,0.869256,2016,03,30,12,47,28,03-01,20160330124728-03-01
5,Control_Room,Control_Room,0.89323,2016,03,30,12,47,28,03-01,20160330124728-03-01
4,Pubbing,Pubbing,0.927243,2016,03,30,12,47,28,03-01,20160330124728-03-01
3,Oven,Oven,0.936468,2016,03,30,12,47,28,03-01,20160330124728-03-01
2,Stove,Stove,0.938844,2016,03,30,12,47,28,03-01,20160330124728-03-01
1,Dish_Washer,Dish_Washer,0.941437,2016,03,30,12,47,28,03-01,20160330124728-03-01
0,Mixed_Color,Mixed_Color,0.968674,2016,03,30,12,47,28,03-01,20160330124728-03-01
14,Appliance,Appliance,0.504997,2016,03,30,12,51,42,05-01,20160330125142-05-01
13,Living_Room,Living_Room,0.51698,2016,03,30,12,51,42,05-01,20160330125142-05-01
12,Disturbance,Disturbance,0.549644,2016,03,30,12,51,42,05-01,20160330125142-05-01
11,Archery,Archery,0.670484,2016,03,30,12,51,42,05-01,20160330125142-05-01
10,Apiary,Apiary,0.743912,2016,03,30,12,51,42,05-01,20160330125142-05-01
9,Beauty_Salon,Beauty_Salon,0.768387,2016,03,30,12,51,42,05-01,20160330125142-05-01
8,Pubbing,Pubbing,0.811221,2016,03,30,12,51,42,05-01,20160330125142-05-01
7,Riot,Riot,0.819718,2016,03,30,12,51,42,05-01,20160330125142-05-01
6,Stockroom,Stockroom,0.863957,2016,03,30,12,51,42,05-01,20160330125142-05-01
5,Engine_Room,Engine_Room,0.864444,2016,03,30,12,51,42,05-01,20160330125142-05-01
4,Microwave,Microwave,0.904482,2016,03,30,12,51,42,05-01,20160330125142-05-01
3,Dish_Washer,Dish_Washer,0.918824,2016,03,30,12,51,42,05-01,20160330125142-05-01
2,Oven,Oven,0.947156,2016,03,30,12,51,42,05-01,20160330125142-05-01
1,Stove,Stove,0.954034,2016,03,30,12,51,42,05-01,20160330125142-05-01
0,Mixed_Color,Mixed_Color,0.971267,2016,03,30,12,51,42,05-01,20160330125142-05-01
17,Appliance,Appliance,0.500229,2016,03,30,13,01,35,13-00,20160330130135-13-00
16,Disturbance,Disturbance,0.531276,2016,03,30,13,01,35,13-00,20160330130135-13-00
15,Big_Group,Big_Group,0.603427,2016,03,30,13,01,35,13-00,20160330130135-13-00
14,Archery,Archery,0.605614,2016,03,30,13,01,35,13-00,20160330130135-13-00
13,Crowd,Crowd,0.608296,2016,03,30,13,01,35,13-00,20160330130135-13-00
12,Living_Room,Living_Room,0.65736,2016,03,30,13,01,35,13-00,20160330130135-13-00
11,Assembly_Plant,Assembly_Plant,0.676828,2016,03,30,13,01,35,13-00,20160330130135-13-00
10,Engine_or_Control_Room,Engine_or_Control_Room,0.801267,2016,03,30,13,01,35,13-00,20160330130135-13-00
9,Beauty_Salon,Beauty_Salon,0.809313,2016,03,30,13,01,35,13-00,20160330130135-13-00
8,Riot,Riot,0.848707,2016,03,30,13,01,35,13-00,20160330130135-13-00
7,Stockroom,Stockroom,0.857522,2016,03,30,13,01,35,13-00,20160330130135-13-00
6,Engine_Room,Engine_Room,0.890105,2016,03,30,13,01,35,13-00,20160330130135-13-00
