ARRAY_INDEX,CLASSIFIER_ID,NAME,SCORE,_ID
12,Cliff_Diving,Cliff_Diving,0.52804,20160402202056-04-01
11,Gray,Gray,0.629954,20160402202056-04-01
10,Prison,Prison,0.641364,20160402202056-04-01
9,Home_Theater,Home_Theater,0.649173,20160402202056-04-01
8,Bowling_Alley,Bowling_Alley,0.692234,20160402202056-04-01
7,Military_Plane,Military_Plane,0.737733,20160402202056-04-01
6,Gazebo,Gazebo,0.771617,20160402202056-04-01
5,Refrigerator,Refrigerator,0.808614,20160402202056-04-01
4,Hang_Gliding,Hang_Gliding,0.828202,20160402202056-04-01
3,Musical_Instrument,Musical_Instrument,0.833912,20160402202056-04-01
2,Piano,Piano,0.859816,20160402202056-04-01
1,Black,Black,0.959251,20160402202056-04-01
0,Night_Sky,Night_Sky,0.960483,20160402202056-04-01
16,Store,Store,0.505601,20160402205530-10-00
15,Living_Room,Living_Room,0.513769,20160402205530-10-00
14,Industrial_Space,Industrial_Space,0.524487,20160402205530-10-00
13,Adventure_Sport,Adventure_Sport,0.554269,20160402205530-10-00
12,Pubbing,Pubbing,0.557019,20160402205530-10-00
11,Archery,Archery,0.696654,20160402205530-10-00
10,Beauty_Salon,Beauty_Salon,0.763486,20160402205530-10-00
9,Tamale,Tamale,0.771542,20160402205530-10-00
8,Dish_Washer,Dish_Washer,0.773903,20160402205530-10-00
7,Food_Court,Food_Court,0.82262,20160402205530-10-00
6,Stove,Stove,0.841145,20160402205530-10-00
5,Shoe_Store,Shoe_Store,0.842901,20160402205530-10-00
4,Mixed_Color,Mixed_Color,0.843144,20160402205530-10-00
3,Clothing_Store,Clothing_Store,0.843917,20160402205530-10-00
2,Riot,Riot,0.848987,20160402205530-10-00
1,Oven,Oven,0.90357,20160402205530-10-00
0,Yellow,Yellow,0.947959,20160402205530-10-00
13,Flood,Flood,0.501648,20160402200334-01-00
12,Prison,Prison,0.540594,20160402200334-01-00
11,Bowling_Alley,Bowling_Alley,0.542824,20160402200334-01-00
10,Gazebo,Gazebo,0.544721,20160402200334-01-00
9,Home_Theater,Home_Theater,0.563272,20160402200334-01-00
8,Cliff_Diving,Cliff_Diving,0.636123,20160402200334-01-00
7,Gray,Gray,0.667717,20160402200334-01-00
6,Lamp,Lamp,0.742319,20160402200334-01-00
5,Refrigerator,Refrigerator,0.785393,20160402200334-01-00
4,Hang_Gliding,Hang_Gliding,0.838899,20160402200334-01-00
3,Musical_Instrument,Musical_Instrument,0.844753,20160402200334-01-00
2,Piano,Piano,0.860401,20160402200334-01-00
1,Night_Sky,Night_Sky,0.954568,20160402200334-01-00
0,Black,Black,0.957878,20160402200334-01-00
13,Camping,Camping,0.507152,20160402205255-09-00
12,Overpass,Overpass,0.534093,20160402205255-09-00
11,Cliff_Diving,Cliff_Diving,0.581824,20160402205255-09-00
10,Gray,Gray,0.609042,20160402205255-09-00
9,Prison,Prison,0.629984,20160402205255-09-00
8,Gazebo,Gazebo,0.672753,20160402205255-09-00
7,Bowling_Alley,Bowling_Alley,0.689285,20160402205255-09-00
6,Military_Plane,Military_Plane,0.755503,20160402205255-09-00
5,Musical_Instrument,Musical_Instrument,0.785001,20160402205255-09-00
4,Refrigerator,Refrigerator,0.841933,20160402205255-09-00
3,Hang_Gliding,Hang_Gliding,0.855956,20160402205255-09-00
2,Piano,Piano,0.880831,20160402205255-09-00
1,Black,Black,0.960639,20160402205255-09-00
0,Night_Sky,Night_Sky,0.970858,20160402205255-09-00
18,Appliance,Appliance,0.506278,20160402205601-11-01
17,Restaurant,Restaurant,0.627141,20160402205601-11-01
16,Clubbing,Clubbing,0.633331,20160402205601-11-01
15,Mixed_Color,Mixed_Color,0.658518,20160402205601-11-01
14,Food_Court,Food_Court,0.68572,20160402205601-11-01
13,Rest_Room,Rest_Room,0.707203,20160402205601-11-01
12,Industrial_Space,Industrial_Space,0.725648,20160402205601-11-01
11,Living_Room,Living_Room,0.727192,20160402205601-11-01
10,Pubbing,Pubbing,0.736822,20160402205601-11-01
9,Wine_Cellar,Wine_Cellar,0.775379,20160402205601-11-01
8,Engine_or_Control_Room,Engine_or_Control_Room,0.784065,20160402205601-11-01
7,Kayaking,Kayaking,0.810433,20160402205601-11-01
6,Archery,Archery,0.819254,20160402205601-11-01
5,Engine_Room,Engine_Room,0.824687,20160402205601-11-01
4,Oven,Oven,0.901301,20160402205601-11-01
3,Microwave,Microwave,0.929589,20160402205601-11-01
2,Stove,Stove,0.944677,20160402205601-11-01
1,Yellow,Yellow,0.947845,20160402205601-11-01
0,Dish_Washer,Dish_Washer,0.951347,20160402205601-11-01
14,Sedan,Sedan,0.514813,20160402200942-02-01
13,Camping,Camping,0.549253,20160402200942-02-01
12,Bowling_Alley,Bowling_Alley,0.579161,20160402200942-02-01
11,Apartment_Building,Apartment_Building,0.590139,20160402200942-02-01
10,Gray,Gray,0.591867,20160402200942-02-01
9,Cliff_Diving,Cliff_Diving,0.593081,20160402200942-02-01
8,Prison,Prison,0.630036,20160402200942-02-01
7,Control_Room,Control_Room,0.667466,20160402200942-02-01
6,Guitar,Guitar,0.769374,20160402200942-02-01
5,Refrigerator,Refrigerator,0.798736,20160402200942-02-01
4,Hang_Gliding,Hang_Gliding,0.826144,20160402200942-02-01
3,Musical_Instrument,Musical_Instrument,0.840831,20160402200942-02-01
2,Piano,Piano,0.900472,20160402200942-02-01
1,Black,Black,0.962122,20160402200942-02-01
0,Night_Sky,Night_Sky,0.971937,20160402200942-02-01
12,Sky_Scene,Sky_Scene,0.50362,20160402204331-06-00
11,Waterscape,Waterscape,0.525418,20160402204331-06-00
10,Prison,Prison,0.550277,20160402204331-06-00
9,Gray,Gray,0.614772,20160402204331-06-00
8,Cliff_Diving,Cliff_Diving,0.684116,20160402204331-06-00
7,Lamp,Lamp,0.759055,20160402204331-06-00
6,Gazebo,Gazebo,0.775704,20160402204331-06-00
5,Military_Plane,Military_Plane,0.779992,20160402204331-06-00
4,Refrigerator,Refrigerator,0.797301,20160402204331-06-00
3,Hang_Gliding,Hang_Gliding,0.826287,20160402204331-06-00
2,Piano,Piano,0.840987,20160402204331-06-00
1,Night_Sky,Night_Sky,0.952119,20160402204331-06-00
0,Black,Black,0.957079,20160402204331-06-00
18,Appliance,Appliance,0.511227,20160402210211-12-00
17,Industrial_Space,Industrial_Space,0.581083,20160402210211-12-00
16,Eatery_Space,Eatery_Space,0.594958,20160402210211-12-00
15,Lobby,Lobby,0.602729,20160402210211-12-00
14,Living_Room,Living_Room,0.608946,20160402210211-12-00
13,Restaurant,Restaurant,0.618348,20160402210211-12-00
12,Mixed_Color,Mixed_Color,0.638278,20160402210211-12-00
11,Clubbing,Clubbing,0.648327,20160402210211-12-00
10,Beauty_Salon,Beauty_Salon,0.654883,20160402210211-12-00
9,Riot,Riot,0.738917,20160402210211-12-00
8,Wine_Cellar,Wine_Cellar,0.770174,20160402210211-12-00
7,Food_Court,Food_Court,0.77212,20160402210211-12-00
6,Archery,Archery,0.833544,20160402210211-12-00
5,Pubbing,Pubbing,0.835557,20160402210211-12-00
4,Piano,Piano,0.906271,20160402210211-12-00
3,Microwave,Microwave,0.937329,20160402210211-12-00
2,Stove,Stove,0.940585,20160402210211-12-00
1,Yellow,Yellow,0.943985,20160402210211-12-00
0,Dish_Washer,Dish_Washer,0.958719,20160402210211-12-00
12,Ice_Skating,Ice_Skating,0.520833,20160402202002-03-00
11,Prison,Prison,0.533387,20160402202002-03-00
10,Gray,Gray,0.614575,20160402202002-03-00
9,Bowling_Alley,Bowling_Alley,0.617247,20160402202002-03-00
8,Cliff_Diving,Cliff_Diving,0.637503,20160402202002-03-00
7,Lamp,Lamp,0.722099,20160402202002-03-00
6,Hang_Gliding,Hang_Gliding,0.793985,20160402202002-03-00
5,Refrigerator,Refrigerator,0.815357,20160402202002-03-00
4,Gazebo,Gazebo,0.821647,20160402202002-03-00
3,Musical_Instrument,Musical_Instrument,0.822655,20160402202002-03-00
2,Piano,Piano,0.876141,20160402202002-03-00
1,Black,Black,0.958741,20160402202002-03-00
0,Night_Sky,Night_Sky,0.972693,20160402202002-03-00
12,Apartment_Building,Apartment_Building,0.614287,20160402204521-07-01
11,Home_Theater,Home_Theater,0.614726,20160402204521-07-01
10,Cliff_Diving,Cliff_Diving,0.622963,20160402204521-07-01
9,Gazebo,Gazebo,0.628439,20160402204521-07-01
8,Prison,Prison,0.6389,20160402204521-07-01
7,Gray,Gray,0.645647,20160402204521-07-01
6,Military_Plane,Military_Plane,0.729427,20160402204521-07-01
5,Musical_Instrument,Musical_Instrument,0.819423,20160402204521-07-01
4,Hang_Gliding,Hang_Gliding,0.830783,20160402204521-07-01
3,Refrigerator,Refrigerator,0.831592,20160402204521-07-01
2,Piano,Piano,0.88225,20160402204521-07-01
1,Night_Sky,Night_Sky,0.909769,20160402204521-07-01
0,Black,Black,0.962253,20160402204521-07-01
14,Auto_Track_Racing,Auto_Track_Racing,0.551164,20160402220800-26-01
13,Restaurant,Restaurant,0.601129,20160402220800-26-01
12,Hotel_Building,Hotel_Building,0.613866,20160402220800-26-01
11,Kayaking,Kayaking,0.640305,20160402220800-26-01
10,Engine_or_Control_Room,Engine_or_Control_Room,0.663876,20160402220800-26-01
9,Food_Court,Food_Court,0.666848,20160402220800-26-01
8,Control_Room,Control_Room,0.668442,20160402220800-26-01
7,Archery,Archery,0.744246,20160402220800-26-01
6,Wine_Cellar,Wine_Cellar,0.810148,20160402220800-26-01
5,Pubbing,Pubbing,0.873223,20160402220800-26-01
4,Oven,Oven,0.921199,20160402220800-26-01
3,Dish_Washer,Dish_Washer,0.93631,20160402220800-26-01
2,Yellow,Yellow,0.952028,20160402220800-26-01
1,Stove,Stove,0.957281,20160402220800-26-01
0,Microwave,Microwave,0.958836,20160402220800-26-01
17,Appliance,Appliance,0.504574,20160402210836-15-00
16,Eatery_Space,Eatery_Space,0.5608,20160402210836-15-00
15,Clubbing,Clubbing,0.600881,20160402210836-15-00
14,Lobby,Lobby,0.611014,20160402210836-15-00
13,Restaurant,Restaurant,0.626557,20160402210836-15-00
12,Wine_Cellar,Wine_Cellar,0.671868,20160402210836-15-00
11,Living_Room,Living_Room,0.697604,20160402210836-15-00
10,Control_Room,Control_Room,0.711156,20160402210836-15-00
9,Archery,Archery,0.738094,20160402210836-15-00
8,Engine_or_Control_Room,Engine_or_Control_Room,0.752455,20160402210836-15-00
7,Beauty_Salon,Beauty_Salon,0.802712,20160402210836-15-00
6,Kayaking,Kayaking,0.806593,20160402210836-15-00
5,Pubbing,Pubbing,0.82399,20160402210836-15-00
4,Oven,Oven,0.927587,20160402210836-15-00
