interval,day,week,classifier,score
24,Saturday,21,Adult,0.58794
43,Sunday,23,Adult,0.616112
30,Monday,24,Adult,0.515812
25,Thursday,21,Adult,0.625805
69,Tuesday,22,Adult,0.595025
76,Wednesday,22,Adult,0.601254
87,Monday,24,Adult,0.62227
87,Wednesday,21,Adult,0.590437
81,Thursday,21,Adult,0.618698
26,Wednesday,22,Adult,0.611421
85,Wednesday,22,Adult,0.627808
24,Thursday,22,Adult,0.574138
59,Tuesday,24,Adult,0.565627
87,Wednesday,21,Adult,0.517966
24,Friday,21,Adult,0.606319
59,Friday,21,Adult,0.61963
54,Saturday,21,Adult,0.540146
78,Thursday,22,Adult,0.54778
28,Monday,22,Adult,0.613703
73,Monday,22,Adult,0.571754
90,Thursday,22,Adult,0.547205
46,Monday,25,Adult,0.626119
41,Tuesday,24,Adult,0.563385
23,Wednesday,21,Adult,0.534261
35,Friday,21,Adult,0.559576
77,Friday,21,Adult,0.569562
73,Monday,22,Adult,0.618429
38,Monday,22,Adult,0.628917
86,Wednesday,22,Adult,0.591299
19,Sunday,25,Adult,0.632242
81,Wednesday,22,Adult,0.589888
73,Thursday,23,Adult,0.583904
91,Tuesday,21,Adult,0.585889
79,Wednesday,21,Adult,0.507674
83,Wednesday,21,Adult,0.511601
84,Friday,21,Adult,0.565113
92,Saturday,21,Adult,0.580647
81,Friday,23,Adult,0.581327
37,Saturday,24,Adult,0.532482
42,Monday,25,Adult,0.536408
42,Monday,24,Adult,0.545678
41,Wednesday,24,Adult,0.531924
74,Friday,24,Adult,0.536991
59,Monday,25,Adult,0.528385
91,Tuesday,21,Adult,0.515412
40,Monday,22,Adult,0.563499
26,Wednesday,22,Adult,0.574229
51,Monday,22,Adult,0.626398
67,Monday,22,Adult,0.576659
35,Monday,24,Adult,0.524706
35,Monday,24,Adult,0.537528
75,Wednesday,22,Adult,0.540021
19,Sunday,25,Adult,0.529458
37,Monday,22,Adult,0.52723
59,Monday,22,Adult,0.500016
40,Monday,22,Adult,0.511352
35,Monday,24,Adult,0.529899
42,Monday,24,Adult,0.564898
73,Wednesday,22,Adult,0.535786
44,Sunday,23,Adult,0.627962
40,Wednesday,24,Adult,0.566595
29,Wednesday,21,Adult,0.524691
25,Wednesday,21,Adult,0.515314
73,Wednesday,22,Adult,0.501624
70,Tuesday,22,Adult,0.505842
48,Sunday,23,Adult,0.524392
87,Friday,23,Adult,0.581004
47,Friday,24,Adult,0.507668
40,Sunday,25,Adult,0.574889
54,Monday,24,Adult,0.570716
47,Monday,24,Adult,0.551616
90,Sunday,25,Adult,0.638813
40,Monday,22,Adult,0.596374
57,Monday,24,Adult,0.521895
51,Wednesday,22,Adult,0.5818
39,Thursday,24,Adult,0.582818
35,Saturday,24,Adult,0.551215
35,Saturday,23,Adult,0.506005
37,Sunday,24,Adult,0.53917
51,Wednesday,22,Adult,0.570127
43,Monday,24,Adult,0.568942
37,Sunday,24,Adult,0.508863
45,Thursday,24,Adult,0.535608
34,Sunday,24,Adult,0.530995
52,Saturday,21,Adult,0.506757
29,Wednesday,21,Adventure_Sport,0.859334
24,Sunday,22,Adventure_Sport,0.868651
24,Sunday,22,Adventure_Sport,0.870178
24,Sunday,22,Adventure_Sport,0.862431
84,Tuesday,22,Adventure_Sport,0.892105
90,Thursday,22,Adventure_Sport,0.899966
84,Friday,23,Adventure_Sport,0.813392
88,Monday,22,Adventure_Sport,0.865656
90,Thursday,22,Adventure_Sport,0.855796
24,Saturday,23,Adventure_Sport,0.84641
89,Saturday,24,Adventure_Sport,0.896139
24,Saturday,23,Adventure_Sport,0.874362
31,Friday,24,Adventure_Sport,0.892039
24,Saturday,24,Adventure_Sport,0.897239
24,Saturday,24,Adventure_Sport,0.875043
91,Tuesday,21,Adventure_Sport,0.905434
24,Thursday,21,Adventure_Sport,0.853707
24,Thursday,21,Adventure_Sport,0.889156
25,Thursday,21,Adventure_Sport,0.883306
36,Friday,21,Adventure_Sport,0.873645
24,Saturday,21,Adventure_Sport,0.827136
24,Sunday,22,Adventure_Sport,0.857583
89,Tuesday,22,Adventure_Sport,0.87119
90,Tuesday,22,Adventure_Sport,0.831226
25,Monday,24,Adventure_Sport,0.883393
84,Friday,23,Adventure_Sport,0.828177
32,Monday,24,Adventure_Sport,0.898401
78,Wednesday,22,Adventure_Sport,0.850746
84,Sunday,24,Adventure_Sport,0.871966
31,Monday,24,Adventure_Sport,0.905982
90,Tuesday,22,Adventure_Sport,0.887427
31,Monday,24,Adventure_Sport,0.877239
77,Wednesday,22,Adventure_Sport,0.877131
24,Thursday,22,Adventure_Sport,0.894712
24,Thursday,22,Adventure_Sport,0.903675
19,Sunday,25,Adventure_Sport,0.834849
31,Monday,24,Adventure_Sport,0.872415
79,Sunday,25,Adventure_Sport,0.879141
24,Sunday,25,Adventure_Sport,0.893096
24,Tuesday,24,Adventure_Sport,0.844285
28,Sunday,25,Adventure_Sport,0.85131
24,Friday,24,Adventure_Sport,0.900951
79,Friday,24,Adventure_Sport,0.857687
37,Sunday,25,Adventure_Sport,0.884616
29,Wednesday,21,Adventure_Sport,0.820398
79,Thursday,21,Adventure_Sport,0.874904
88,Thursday,21,Adventure_Sport,0.83603
79,Sunday,22,Adventure_Sport,0.801509
24,Tuesday,22,Adventure_Sport,0.879382
23,Wednesday,22,Adventure_Sport,0.863159
90,Thursday,22,Adventure_Sport,0.864172
78,Wednesday,22,Adventure_Sport,0.835375
81,Friday,23,Adventure_Sport,0.838413
81,Friday,23,Adventure_Sport,0.866426
80,Thursday,23,Adventure_Sport,0.88707
85,Friday,23,Adventure_Sport,0.79566
90,Thursday,22,Adventure_Sport,0.894227
29,Sunday,24,Adventure_Sport,0.885667
80,Friday,23,Adventure_Sport,0.838688
27,Monday,24,Adventure_Sport,0.880628
87,Monday,22,Adventure_Sport,0.825574
79,Monday,24,Adventure_Sport,0.88328
86,Monday,24,Adventure_Sport,0.862051
79,Wednesday,22,Adventure_Sport,0.851124
79,Wednesday,22,Adventure_Sport,0.868217
81,Thursday,24,Adventure_Sport,0.889754
29,Saturday,24,Adventure_Sport,0.87216
30,Saturday,24,Adventure_Sport,0.892585
37,Thursday,24,Adventure_Sport,0.874773
81,Wednesday,22,Adventure_Sport,0.877046
83,Friday,23,Adventure_Sport,0.76114
78,Saturday,24,Adventure_Sport,0.905592
23,Saturday,23,Adventure_Sport,0.896861
