classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
Adult,0.58794,20160528060342-487-01,2016,05,28,06,03,42
Adult,0.616112,20160605104527-147-00,2016,06,05,10,45,27
Adult,0.515812,20160613073609-532-00,2016,06,13,07,36,09
Adult,0.625805,20160526061737-109-00,2016,05,26,06,17,37
Adult,0.595025,20160531171940-987-00,2016,05,31,17,19,40
Adult,0.601254,20160601190403-38-00,2016,06,01,19,04,03
Adult,0.62227,20160613215603-672-00,2016,06,13,21,56,03
Adult,0.590437,20160525214629-99-00,2016,05,25,21,46,29
Adult,0.618698,20160526202334-231-01,2016,05,26,20,23,34
Adult,0.611421,20160601064243-1040-00,2016,06,01,06,42,43
Adult,0.627808,20160601212921-130-01,2016,06,01,21,29,21
Adult,0.574138,20160602060917-04-00,2016,06,02,06,09,17
Adult,0.565627,20160614145031-740-00,2016,06,14,14,50,31
Adult,0.517966,20160525214658-100-01,2016,05,25,21,46,58
Adult,0.606319,20160527060146-245-01,2016,05,27,06,01,46
Adult,0.61963,20160527145257-467-01,2016,05,27,14,52,57
Adult,0.540146,20160528134407-575-01,2016,05,28,13,44,07
Adult,0.54778,20160602194054-48-00,2016,06,02,19,40,54
Adult,0.613703,20160530070314-774-00,2016,05,30,07,03,14
Adult,0.571754,20160530181734-923-01,2016,05,30,18,17,34
Adult,0.547205,20160602223806-76-00,2016,06,02,22,38,06
Adult,0.626119,20160620114104-1596-00,2016,06,20,11,41,04
Adult,0.563385,20160614102111-718-01,2016,06,14,10,21,11
Adult,0.534261,20160525055254-06-00,2016,05,25,05,52,54
Adult,0.559576,20160527085202-336-01,2016,05,27,08,52,02
Adult,0.569562,20160527192607-479-01,2016,05,27,19,26,07
Adult,0.618429,20160530181818-924-00,2016,05,30,18,18,18
Adult,0.628917,20160530094133-820-00,2016,05,30,09,41,33
Adult,0.591299,20160601214037-132-00,2016,06,01,21,40,37
Adult,0.632242,20160619045201-1352-00,2016,06,19,04,52,01
Adult,0.589888,20160601202636-111-00,2016,06,01,20,26,36
Adult,0.583904,20160609182619-191-00,2016,06,09,18,26,19
Adult,0.585889,20160524225717-04-01,2016,05,24,22,57,17
Adult,0.507674,20160525194524-90-00,2016,05,25,19,45,24
Adult,0.511601,20160525205000-93-00,2016,05,25,20,50,00
Adult,0.565113,20160527210721-481-01,2016,05,27,21,07,21
Adult,0.580647,20160528230141-620-01,2016,05,28,23,01,41
Adult,0.581327,20160610201836-220-01,2016,06,10,20,18,36
Adult,0.532482,20160618092718-1268-00,2016,06,18,09,27,18
Adult,0.536408,20160620104350-1588-01,2016,06,20,10,43,50
Adult,0.545678,20160613103545-588-00,2016,06,13,10,35,45
Adult,0.531924,20160615102334-825-00,2016,06,15,10,23,34
Adult,0.536991,20160617183559-1221-01,2016,06,17,18,35,59
Adult,0.528385,20160620145644-1605-00,2016,06,20,14,56,44
Adult,0.515412,20160524225216-01-00,2016,05,24,22,52,16
Adult,0.563499,20160530101319-825-00,2016,05,30,10,13,19
Adult,0.574229,20160601064140-1039-00,2016,06,01,06,41,40
Adult,0.626398,20160530125720-857-00,2016,05,30,12,57,20
Adult,0.576659,20160530165833-910-00,2016,05,30,16,58,33
Adult,0.524706,20160613084648-563-00,2016,06,13,08,46,48
Adult,0.537528,20160613084731-564-00,2016,06,13,08,47,31
Adult,0.540021,20160601185535-33-01,2016,06,01,18,55,35
Adult,0.529458,20160619045519-1356-00,2016,06,19,04,55,19
Adult,0.52723,20160530092334-817-01,2016,05,30,09,23,34
Adult,0.500016,20160530144915-880-00,2016,05,30,14,49,15
Adult,0.511352,20160530100525-822-00,2016,05,30,10,05,25
Adult,0.529899,20160613085642-567-00,2016,06,13,08,56,42
Adult,0.564898,20160613103821-590-00,2016,06,13,10,38,21
Adult,0.535786,20160601182004-14-00,2016,06,01,18,20,04
Adult,0.627962,20160605110149-156-00,2016,06,05,11,01,49
Adult,0.566595,20160615100707-813-00,2016,06,15,10,07,07
Adult,0.524691,20160525072952-07-01,2016,05,25,07,29,52
Adult,0.515314,20160525062904-10-00,2016,05,25,06,29,04
Adult,0.501624,20160601181548-13-00,2016,06,01,18,15,48
Adult,0.505842,20160531173622-989-00,2016,05,31,17,36,22
Adult,0.524392,20160605120113-167-01,2016,06,05,12,01,13
Adult,0.581004,20160610214856-249-01,2016,06,10,21,48,56
Adult,0.507668,20160617115608-1193-00,2016,06,17,11,56,08
Adult,0.574889,20160619100217-1442-01,2016,06,19,10,02,17
Adult,0.570716,20160613134057-635-01,2016,06,13,13,40,57
Adult,0.551616,20160613115814-617-00,2016,06,13,11,58,14
Adult,0.638813,20160619224049-1528-00,2016,06,19,22,40,49
Adult,0.596374,20160530100931-823-00,2016,05,30,10,09,31
Adult,0.521895,20160613142303-647-01,2016,06,13,14,23,03
Adult,0.5818,20160601125000-1081-00,2016,06,01,12,50,00
Adult,0.582818,20160616095924-1015-00,2016,06,16,09,59,24
Adult,0.551215,20160618084950-1267-01,2016,06,18,08,49,50
