interval,ampm,week,day,id
0,PM,52,Wednesday,20160524161208-03-01
0,PM,52,Wednesday,20160524161102-02-00
0,PM,52,Wednesday,20160524160947-01-00
0,PM,52,Wednesday,20160524161546-05-01
0,PM,52,Wednesday,20160524161907-06-01
0,PM,52,Wednesday,20160524170252-03-01
0,PM,52,Wednesday,20160524174435-08-00
0,PM,52,Wednesday,20160524172246-01-01
0,PM,52,Wednesday,20160524170539-01-01
0,PM,52,Wednesday,20160524174845-10-00
0,PM,52,Wednesday,20160524162347-08-00
0,PM,52,Wednesday,20160524160050-01-00
0,PM,52,Wednesday,20160524161239-04-01
0,PM,52,Wednesday,20160524165422-03-00
0,PM,52,Wednesday,20160524183225-19-00
0,PM,52,Wednesday,20160524183253-20-00
0,PM,52,Wednesday,20160524200953-12-00
0,PM,52,Wednesday,20160524163018-01-00
84,PM,21,Tuesday,20160524211036-01-01
0,PM,52,Wednesday,20160524210020-02-01
0,PM,52,Wednesday,20160524171440-01-00
23,AM,21,Wednesday,20160525055254-06-00
0,PM,52,Wednesday,20160524165603-04-00
0,PM,52,Wednesday,20160524180104-14-01
0,PM,52,Wednesday,20160524171515-02-01
27,AM,21,Wednesday,20160525064757-23-00
0,PM,52,Wednesday,20160524180656-15-01
0,PM,52,Wednesday,20160524165324-02-01
0,PM,52,Wednesday,20160524173145-02-00
26,AM,21,Wednesday,20160525063644-13-00
0,PM,52,Wednesday,20160524170158-02-00
29,AM,21,Wednesday,20160525071543-05-01
0,PM,52,Wednesday,20160524173214-03-00
0,PM,52,Wednesday,20160524195020-10-01
0,PM,52,Wednesday,20160524170045-01-00
0,PM,52,Wednesday,20160524184616-04-00
27,AM,21,Wednesday,20160525064723-22-00
0,PM,52,Wednesday,20160524175127-11-01
30,AM,21,Wednesday,20160525073914-10-00
0,PM,52,Wednesday,20160524191633-08-01
29,AM,21,Wednesday,20160525071607-06-01
0,PM,52,Wednesday,20160524173620-06-00
91,PM,21,Tuesday,20160524225626-03-00
0,PM,52,Wednesday,20160524175425-13-00
0,PM,52,Wednesday,20160524170333-04-01
0,PM,52,Wednesday,20160524160141-02-01
36,AM,21,Wednesday,20160525091301-10-00
0,PM,52,Wednesday,20160524175338-12-00
0,PM,52,Wednesday,20160524193403-09-01
0,PM,52,Wednesday,20160524180753-16-00
35,AM,21,Wednesday,20160525085130-01-00
91,PM,21,Tuesday,20160524225216-01-00
24,AM,21,Wednesday,20160525060513-07-00
36,AM,21,Wednesday,20160525090856-04-00
0,PM,52,Wednesday,20160524183123-18-01
0,PM,52,Wednesday,20160524162100-07-01
0,PM,52,Wednesday,20160524173114-01-00
0,PM,52,Wednesday,20160524184227-02-01
26,AM,21,Wednesday,20160525063500-12-00
91,PM,21,Tuesday,20160524225338-02-00
0,PM,52,Wednesday,20160524173328-04-00
38,AM,21,Wednesday,20160525093059-13-00
39,AM,21,Wednesday,20160525095539-18-00
27,AM,21,Wednesday,20160525064646-21-00
0,PM,52,Wednesday,20160524184319-03-00
30,AM,21,Wednesday,20160525073029-08-00
0,PM,52,Wednesday,20160524173413-05-00
