classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
person,0.268941,20160528125357-546-01,2016,05,28,12,53,57
person,0.310026,20160530181734-923-01,2016,05,30,18,17,34
person,0.310026,20160530125720-857-00,2016,05,30,12,57,20
person,0.960834,20160602060125-02-00,2016,06,02,06,01,25
person,0.450166,20160601185535-33-01,2016,06,01,18,55,35
person,0.331812,20160602231551-78-00,2016,06,02,23,15,51
person,0.549834,20160601210034-120-00,2016,06,01,21,00,34
person,0.310026,20160603095933-128-01,2016,06,03,09,59,33
person,0.354344,20160601203236-115-01,2016,06,01,20,32,36
person,0.268941,20160601212605-128-00,2016,06,01,21,26,05
person,0.924142,20160605104222-146-01,2016,06,05,10,42,22
person,0.331812,20160602203456-53-00,2016,06,02,20,34,56
person,0.28905,20160615142359-878-00,2016,06,15,14,23,59
person,0.768525,20160614194214-770-00,2016,06,14,19,42,14
person,0.268941,20160615072117-785-00,2016,06,15,07,21,17
person,0.268941,20160617173949-1220-01,2016,06,17,17,39,49
person,0.268941,20160617142811-1212-00,2016,06,17,14,28,11
person,0.354344,20160616083503-999-00,2016,06,16,08,35,03
person,0.268941,20160617140421-1209-00,2016,06,17,14,04,21
person,0.401312,20160618094658-1278-00,2016,06,18,09,46,58
person,0.598688,20160618094555-1276-01,2016,06,18,09,45,55
