seq,id,changes/0/rev,deleted,doc/_id,doc/_rev,doc/_deleted,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second,doc/imagebox,doc/alchemy/text,doc/alchemy/score,doc/visual/image,doc/visual/scores/0/classifier_id,doc/visual/scores/0/name,doc/visual/scores/0/score,doc/visual/scores/1/classifier_id,doc/visual/scores/1/name,doc/visual/scores/1/score,doc/visual/scores/2/classifier_id,doc/visual/scores/2/name,doc/visual/scores/2/score,doc/visual/scores/3/classifier_id,doc/visual/scores/3/name,doc/visual/scores/3/score,doc/visual/scores/4/classifier_id,doc/visual/scores/4/name,doc/visual/scores/4/score,doc/visual/scores/5/classifier_id,doc/visual/scores/5/name,doc/visual/scores/5/score,doc/visual/scores/6/classifier_id,doc/visual/scores/6/name,doc/visual/scores/6/score,doc/visual/scores/7/classifier_id,doc/visual/scores/7/name,doc/visual/scores/7/score,doc/visual/scores/8/classifier_id,doc/visual/scores/8/name,doc/visual/scores/8/score,doc/visual/scores/9/classifier_id,doc/visual/scores/9/name,doc/visual/scores/9/score,doc/visual/scores/10/classifier_id,doc/visual/scores/10/name,doc/visual/scores/10/score,doc/visual/scores/11/classifier_id,doc/visual/scores/11/name,doc/visual/scores/11/score,doc/visual/scores/12/classifier_id,doc/visual/scores/12/name,doc/visual/scores/12/score,doc/visual/scores/13/classifier_id,doc/visual/scores/13/name,doc/visual/scores/13/score,doc/visual/scores/14/classifier_id,doc/visual/scores/14/name,doc/visual/scores/14/score,doc/visual/scores/15/classifier_id,doc/visual/scores/15/name,doc/visual/scores/15/score,doc/visual/scores/16/classifier_id,doc/visual/scores/16/name,doc/visual/scores/16/score,doc/visual/scores/17/classifier_id,doc/visual/scores/17/name,doc/visual/scores/17/score,doc/visual/scores/18/classifier_id,doc/visual/scores/18/name,doc/visual/scores/18/score,doc/visual/scores/19/classifier_id,doc/visual/scores/19/name,doc/visual/scores/19/score,doc/visual/scores/20/classifier_id,doc/visual/scores/20/name,doc/visual/scores/20/score,doc/visual/scores/21/classifier_id,doc/visual/scores/21/name,doc/visual/scores/21/score,doc/visual/scores/22/classifier_id,doc/visual/scores/22/name,doc/visual/scores/22/score,doc/visual/scores/23/classifier_id,doc/visual/scores/23/name,doc/visual/scores/23/score,doc/visual/scores/24/classifier_id,doc/visual/scores/24/name,doc/visual/scores/24/score,doc/visual/scores/25/classifier_id,doc/visual/scores/25/name,doc/visual/scores/25/score,doc/status,doc/usage,doc/NOTICE,doc/url,doc/totalTransactions,doc/imageKeywords/0/text,doc/imageKeywords/0/score,doc/images/0/image,doc/images/0/scores/0/classifier_id,doc/images/0/scores/0/name,doc/images/0/scores/0/score,doc/images/0/scores/1/classifier_id,doc/images/0/scores/1/name,doc/images/0/scores/1/score,doc/images/0/scores/2/classifier_id,doc/images/0/scores/2/name,doc/images/0/scores/2/score,doc/images/0/scores/3/classifier_id,doc/images/0/scores/3/name,doc/images/0/scores/3/score,doc/images/0/scores/4/classifier_id,doc/images/0/scores/4/name,doc/images/0/scores/4/score,doc/images/0/scores/5/classifier_id,doc/images/0/scores/5/name,doc/images/0/scores/5/score,doc/images/0/scores/6/classifier_id,doc/images/0/scores/6/name,doc/images/0/scores/6/score,doc/images/0/scores/7/classifier_id,doc/images/0/scores/7/name,doc/images/0/scores/7/score,doc/images/0/scores/8/classifier_id,doc/images/0/scores/8/name,doc/images/0/scores/8/score,doc/images/0/scores/9/classifier_id,doc/images/0/scores/9/name,doc/images/0/scores/9/score,doc/images/0/scores/10/classifier_id,doc/images/0/scores/10/name,doc/images/0/scores/10/score,doc/images/0/scores/11/classifier_id,doc/images/0/scores/11/name,doc/images/0/scores/11/score,doc/images/0/scores/12/classifier_id,doc/images/0/scores/12/name,doc/images/0/scores/12/score,doc/images/0/scores/13/classifier_id,doc/images/0/scores/13/name,doc/images/0/scores/13/score,doc/images/0/scores/14/classifier_id,doc/images/0/scores/14/name,doc/images/0/scores/14/score,doc/images/0/scores/15/classifier_id,doc/images/0/scores/15/name,doc/images/0/scores/15/score,doc/images/0/scores/16/classifier_id,doc/images/0/scores/16/name,doc/images/0/scores/16/score,doc/images/0/scores/17/classifier_id,doc/images/0/scores/17/name,doc/images/0/scores/17/score,doc/images/0/scores/18/classifier_id,doc/images/0/scores/18/name,doc/images/0/scores/18/score,doc/images/0/scores/19/classifier_id,doc/images/0/scores/19/name,doc/images/0/scores/19/score,doc/imageKeywords/1/text,doc/imageKeywords/1/score,doc/visual/scores/26/classifier_id,doc/visual/scores/26/name,doc/visual/scores/26/score,doc/visual/scores/27/classifier_id,doc/visual/scores/27/name,doc/visual/scores/27/score
7-g1AAAAJEeJzLYWBg4MhgTmHQSElKzi9KdUhJMtZLytVNSczRLS5JzEtJLEox0kvOyS9NScwr0ctLLckB6mBKZEiS____f1YiA6peIyL0JikAySR7bNpNidHuANIeD9KewZzIngvksRunmCdbmBqTYBQZzk4A2VuPzdnEhFgeC5BkaABSQBPmkxVwECMWQIzYT4ErDkCMuE-BKx5AjACFRRYAW6bAUQ,20160524161102-02-00,2-860ea75bff429e6cb5c180b270ac92a9,True,20160524161102-02-00,2-860ea75bff429e6cb5c180b270ac92a9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-g1AAAAJ9eJzLYWBg4MhgTmHQSElKzi9KdUhJMtZLytVNSczRLS5JzEtJLEox0kvOyS9NScwr0ctLLckB6mBKZEiS____f1YiA6peIyL0JikAySR7kPYM5kT-XCCP3cgi1dzAwJgEo1DtNSXGXgeQvfFQe9nB9hqnmCdbmBqTYBQZ_k0A2VuPLbiICeo8FiDJ0ACkgCbMJyvEIUYsgBixnwJXHIAYcZ8CVzyAGAEKiywA3JbSEw,20160524162347-08-00,2-758d97641b488a56cbe7f482c2c0f75c,True,20160524162347-08-00,2-758d97641b488a56cbe7f482c2c0f75c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-g1AAAAK2eJzLYWBg4MhgTmHQSElKzi9KdUhJMtZLytVNSczRLS5JzEtJLEox0kvOyS9NScwr0ctLLckB6mBKZEiS____f1YGcyJrLlCAPdko2dTMwJAEc1AtNSLC0iQFIJlkD7WXH2yvkUWquYGBMQlGodprSoy9DiB746H2soPtNU4xT7YwNSbBKDL8mwCytx5kbyID6XGUxwIkGRqAFNCE-RhGEOMCiBELIEbsp8AVByBG3KfAFQ8gRoDCIgsAVkvj9w,20160524161208-03-01,2-311f94145963137b86b6f144a7550cb8,True,20160524161208-03-01,2-311f94145963137b86b6f144a7550cb8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-g1AAAALveJzLYWBg4MhgTmHQSElKzi9KdUhJMtZLytVNSczRLS5JzEtJLEox0kvOyS9NScwr0ctLLckB6mBKZEiS____f1YGcyJrLlCAPdko2dTMwJAEc1AtNSLC0iQFIJlkD7WXH2yvkUWquYGBMQlGodprSoy9DiB746H2soPtNU4xT7YwNSbBKDL8mwCytx5kbyID6XGUxwIkGRqAFNCE-SCns4GdbmlukpaaYkbTqILYvQBi934KnH8AYsR9DCOId8UDiBGgQMwCADe89iE,20160524161546-05-01,2-24e1e21517dc4d72b945b660ecb4c2e2,True,20160524161546-05-01,2-24e1e21517dc4d72b945b660ecb4c2e2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-g1AAAAMoeJzLYWBg4MhgTmHQSElKzi9KdUhJMtZLytVNSczRLS5JzEtJLEox0kvOyS9NScwr0ctLLckB6mBKZEiS____f1YGcyJrLlCAPdko2dTMwJAEc1AtNSLC0iQFIJlkD7WXH2yvkUWquYGBMQlGodprSoy9DiB746H2soPtNU4xT7YwNSbBKDL8mwCytx5kbyID6XGUxwIkGRqAFNCE-SCns4GdbmlukpaaYkbTqILYvQBi934KnH8AYsR9kPN5IDFulmKYaGpBB-c_gNgNCv0sAHKRCCI,20160524160947-01-00,2-de18162fd41e06091af372ba537a996a,True,20160524160947-01-00,2-de18162fd41e06091af372ba537a996a,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-g1AAAANheJy90ksOwiAUBVDif2DiEnToxKYF-3GkO9EHD2OafpJax7oT3YnuRHdSoTjQmWh0AgkJ91zySAghvU0TyRi5yAu5QM4cnk4Qksm2hAyhQOqIJN8hZKWTyTJRNxpA-LCqqnjThHaqDrqCCj9wPYucV5S-gfKRWvn84Q5ql0YydF1mEfXq-u-4C-0uH263dhmGIvKZRdQH711pd69dIPYzylpqJQe1qYSjrt6pq8_C6Vpi8NNRGftk7PMX9S8m4qrr983EA_TAj_5Q_2bsp18OwuNyHVrExXcc5hqa,20160524165422-03-00,2-7495675da66fd5c71234df598e896f51,True,20160524165422-03-00,2-7495675da66fd5c71234df598e896f51,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-g1AAAAOaeJy900sKwjAQBuDgeyF4BF26sfRh2rrSm-hMJiKlD9C61pvoTfQmepOaNgV11xZ0k0Ag_zfDJCFjbLBrE5sSimQvV4SOgdGMIJwdUogJ9mQbIkyOBHFqxDIN1Y0WMBxnWRbs2tCN1EFf2IK7plUj5xu1K6A4USsuS3dUuLYvPdN0akR9u7yKu8rdden2C9chT_jcqRHVoN9N7p5Kt1e4iD63-Lxxv1WGG3fUys5qU_TlbS-8-VaS-9MZa_uq7VsArGn5dx3xyMsf6qfikgXc_0P5T21_fA8QFsqtVyMueAGMzCyF,20160524160050-01-00,2-0ea70f62babd2e20bbc42e459ea88de8,True,20160524160050-01-00,2-0ea70f62babd2e20bbc42e459ea88de8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68-g1AAAAPTeJy9000OgjAQBeDG_4WJR9ClG0kpFHClN9FOp8QYhERxrTfRm-hN9CZYKIm6AxLdtEmTvi8v00aEkMGmjWSKIJO9WiI4FuxmKKLZIRUxij0yS0bJEUWcWrFKI32jJQiMsyzbbtqiu9MHfckk96hdI-cbZRVQmOgVFqU7KlwWKJ9Sp0bUt8uruMvcXZVuv3Ad9GXAnRpRDfquc_dUur3CBQi4zd3GfasMN-7olZz1punL2577bqjQ--mMjX019i23h-Z9cQqUhn_ofTf2420zD23Bgz_0fhr7418JaYMK_Rpx2xekID6b,20160524161239-04-01,2-05f512b8ba9d8dc7d49defc28d672a85,True,20160524161239-04-01,2-05f512b8ba9d8dc7d49defc28d672a85,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69-g1AAAAPTeJy900sKwjAUBdDgfyC4BB06saSpaetId6J5eSki_YDWse5Ed6I70Z3UtCmos7agkwQCuYfLS0JCyGDbRjJFkMlerRAcC6IZinB2SEWMYo_MkmFyRBGnVqzSUN9oCQLjLMt227boRvqgL5nkLrVr5HyjrAIKE73CsnRHhct85VHq1Ij6dnkVd5W769IdFK6DnvS5UyOqQd9N7p5Kt1e4AD63-bxx3yrDjTt6JWe9afrythfePFDo_nTGxr4a-5bbQ_O-OAVKgz_0vhv78baZi7bg_h96P4398a-EtEEFXo243QumwT6c,20160524161907-06-01,2-952642ee4d72e04f763e15f29f200e88,True,20160524161907-06-01,2-952642ee4d72e04f763e15f29f200e88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70-g1AAAAPTeJy900sKwjAUBdDgfyC4BB06saSpaetId6J5eSki_YDWse5Ed6I70Z3UtCmos7agkwQCuYfLS0JCyGDbRjJFkMlerRAcC6IZinB2SEWMYo_MkmFyRBGnVqzSUN9oCQLjLMt227boRvqgL5nkLrVr5HyjrAIKE73CsnRHhct85VHq1Ij6dnkVd5W769IdFK6DnvS5UyOqQd9N7p5Kt1e4AD63-bxx3yrDjTt6JWe9afqS2_3CXnjzQKH70xkb-2rsW24PzfviFCgN_tD7buzH22Yu2oL7f-j9NPbHvxLSBhV4NeJ2L6huPp0,20160524170158-02-00,2-62e1b2c24ce1059752dba7f7928ad8a6,True,20160524170158-02-00,2-62e1b2c24ce1059752dba7f7928ad8a6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
