classifier,score,year,month,day,hour,minute,second,seqno
Adult,0.615664,2016,04,03,13,58,17,217-01
Adult,0.629929,2016,04,06,06,52,28,413-01
Adult,0.564135,2016,04,04,07,00,04,405-01
Adult,0.614021,2016,04,05,19,54,30,348-00
Adult,0.510581,2016,04,04,12,58,31,529-00
Adult,0.625568,2016,04,05,17,24,55,267-00
Adult,0.529675,2016,04,05,19,52,00,345-01
Adult,0.62869,2016,04,06,17,13,04,636-00
Adult,0.518549,2016,04,03,14,34,12,244-01
Adult,0.618017,2016,04,03,18,16,45,320-00
Adult,0.580314,2016,04,06,17,48,47,670-00
Adult,0.583303,2016,04,04,15,17,47,555-01
Adult,0.606739,2016,04,06,17,05,44,631-01
Adult,0.6113,2016,04,07,11,02,28,126-00
Adult,0.617498,2016,04,03,13,56,42,215-01
Adult,0.592608,2016,04,06,17,05,13,630-00
Adult,0.575359,2016,04,06,17,14,12,638-00
Adult,0.579184,2016,04,03,11,50,58,153-00
Adult,0.508825,2016,04,03,14,43,14,248-01
Adult,0.552259,2016,04,04,07,09,07,407-00
Adult,0.558654,2016,04,03,20,09,17,349-00
Adult,0.547451,2016,04,03,15,56,22,285-01
Adventure_Sport,0.822536,2016,04,07,05,20,35,59-01
Adventure_Sport,0.827446,2016,04,07,00,40,01,44-00
Adventure_Sport,0.831066,2016,04,07,00,41,38,45-00
Adventure_Sport,0.759587,2016,04,07,00,55,32,50-00
Adventure_Sport,0.709244,2016,04,07,05,22,14,60-01
Adventure_Sport,0.769522,2016,04,04,20,00,03,651-01
Adventure_Sport,0.733821,2016,04,07,00,39,32,43-01
Adventure_Sport,0.640588,2016,04,07,01,07,11,53-01
Adventure_Sport,0.685053,2016,04,07,05,39,56,61-00
Adventure_Sport,0.72769,2016,04,04,21,01,46,09-01
Adventure_Sport,0.801879,2016,04,04,21,08,48,11-01
Adventure_Sport,0.758332,2016,04,04,20,29,06,661-00
Adventure_Sport,0.718266,2016,04,04,20,49,57,03-00
Adventure_Sport,0.769879,2016,04,04,21,09,53,12-01
Adventure_Sport,0.622737,2016,04,07,01,29,40,57-01
Adventure_Sport,0.760239,2016,04,04,20,28,25,660-01
Adventure_Sport,0.741133,2016,04,04,21,10,41,13-01
Adventure_Sport,0.720141,2016,04,04,21,19,40,14-01
Adventure_Sport,0.687813,2016,04,04,21,21,19,16-00
Adventure_Sport,0.678097,2016,04,04,21,30,06,18-01
Adventure_Sport,0.657676,2016,04,06,20,55,36,14-01
Adventure_Sport,0.616369,2016,04,07,00,53,04,49-00
Adventure_Sport,0.714437,2016,04,02,22,20,01,29-00
Adventure_Sport,0.709546,2016,04,04,19,53,05,646-00
Adventure_Sport,0.739752,2016,04,04,19,57,34,649-00
Adventure_Sport,0.691194,2016,04,04,20,30,06,663-00
Adventure_Sport,0.720026,2016,04,04,20,49,30,02-00
Adventure_Sport,0.747287,2016,04,05,06,17,30,74-01
Adventure_Sport,0.671473,2016,04,06,20,58,10,17-00
Adventure_Sport,0.663473,2016,04,06,22,54,01,34-01
Adventure_Sport,0.598487,2016,04,07,00,44,13,47-00
Adventure_Sport,0.670314,2016,04,04,19,59,39,650-00
Adventure_Sport,0.675752,2016,04,04,20,22,41,656-00
Adventure_Sport,0.698583,2016,04,04,20,57,22,05-00
Adventure_Sport,0.627017,2016,04,07,06,22,00,63-01
