classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
Adult,0.615664,20160403135817-217-01,2016,4,3,13,58,17
Adult,0.629929,20160406065228-413-01,2016,4,6,6,52,28
Adult,0.564135,20160404070004-405-01,2016,4,4,7,0,4
Adult,0.614021,20160405195430-348-00,2016,4,5,19,54,30
Adult,0.510581,20160404125831-529-00,2016,4,4,12,58,31
Adult,0.625568,20160405172455-267-00,2016,4,5,17,24,55
Adult,0.529675,20160405195200-345-01,2016,4,5,19,52,0
Adult,0.62869,20160406171304-636-00,2016,4,6,17,13,4
Adult,0.634242,20160407181443-326-00,2016,4,7,18,14,43
Adult,0.518549,20160403143412-244-01,2016,4,3,14,34,12
Adult,0.618017,20160403181645-320-00,2016,4,3,18,16,45
Adult,0.580314,20160406174847-670-00,2016,4,6,17,48,47
Adult,0.583303,20160404151747-555-01,2016,4,4,15,17,47
Adult,0.606739,20160406170544-631-01,2016,4,6,17,5,44
Adult,0.6113,20160407110228-126-00,2016,4,7,11,2,28
Adult,0.617498,20160403135642-215-01,2016,4,3,13,56,42
Adult,0.592608,20160406170513-630-00,2016,4,6,17,5,13
Adult,0.575359,20160406171412-638-00,2016,4,6,17,14,12
Adult,0.500588,20160407182213-331-01,2016,4,7,18,22,13
Adult,0.579184,20160403115058-153-00,2016,4,3,11,50,58
Adult,0.508825,20160403144314-248-01,2016,4,3,14,43,14
Adult,0.552259,20160404070907-407-00,2016,4,4,7,9,7
Adult,0.558654,20160403200917-349-00,2016,4,3,20,9,17
Adult,0.547451,20160403155622-285-01,2016,4,3,15,56,22
Adventure_Sport,0.822536,20160407052035-59-01,2016,4,7,5,20,35
Adventure_Sport,0.827446,20160407004001-44-00,2016,4,7,0,40,1
Adventure_Sport,0.831066,20160407004138-45-00,2016,4,7,0,41,38
Adventure_Sport,0.759587,20160407005532-50-00,2016,4,7,0,55,32
Adventure_Sport,0.709244,20160407052214-60-01,2016,4,7,5,22,14
Adventure_Sport,0.769522,20160404200003-651-01,2016,4,4,20,0,3
Adventure_Sport,0.733821,20160407003932-43-01,2016,4,7,0,39,32
Adventure_Sport,0.640588,20160407010711-53-01,2016,4,7,1,7,11
Adventure_Sport,0.685053,20160407053956-61-00,2016,4,7,5,39,56
Adventure_Sport,0.72769,20160404210146-09-01,2016,4,4,21,1,46
Adventure_Sport,0.801879,20160404210848-11-01,2016,4,4,21,8,48
Adventure_Sport,0.758332,20160404202906-661-00,2016,4,4,20,29,6
Adventure_Sport,0.718266,20160404204957-03-00,2016,4,4,20,49,57
Adventure_Sport,0.769879,20160404210953-12-01,2016,4,4,21,9,53
Adventure_Sport,0.622737,20160407012940-57-01,2016,4,7,1,29,40
Adventure_Sport,0.760239,20160404202825-660-01,2016,4,4,20,28,25
Adventure_Sport,0.741133,20160404211041-13-01,2016,4,4,21,10,41
Adventure_Sport,0.720141,20160404211940-14-01,2016,4,4,21,19,40
Adventure_Sport,0.687813,20160404212119-16-00,2016,4,4,21,21,19
Adventure_Sport,0.678097,20160404213006-18-01,2016,4,4,21,30,6
Adventure_Sport,0.657676,20160406205536-14-01,2016,4,6,20,55,36
Adventure_Sport,0.616369,20160407005304-49-00,2016,4,7,0,53,4
Adventure_Sport,0.714437,20160402222001-29-00,2016,4,2,22,20,1
Adventure_Sport,0.709546,20160404195305-646-00,2016,4,4,19,53,5
Adventure_Sport,0.739752,20160404195734-649-00,2016,4,4,19,57,34
Adventure_Sport,0.691194,20160404203006-663-00,2016,4,4,20,30,6
Adventure_Sport,0.720026,20160404204930-02-00,2016,4,4,20,49,30
Adventure_Sport,0.747287,20160405061730-74-01,2016,4,5,6,17,30
Adventure_Sport,0.671473,20160406205810-17-00,2016,4,6,20,58,10
Adventure_Sport,0.663473,20160406225401-34-01,2016,4,6,22,54,1
Adventure_Sport,0.598487,20160407004413-47-00,2016,4,7,0,44,13
Adventure_Sport,0.670314,20160404195939-650-00,2016,4,4,19,59,39
Adventure_Sport,0.675752,20160404202241-656-00,2016,4,4,20,22,41
Adventure_Sport,0.698583,20160404205722-05-00,2016,4,4,20,57,22
Adventure_Sport,0.627017,20160407062200-63-01,2016,4,7,6,22,0
Adventure_Sport,0.622732,20160402222732-31-00,2016,4,2,22,27,32
Adventure_Sport,0.604673,20160404202305-657-01,2016,4,4,20,23,5
Adventure_Sport,0.625521,20160404202936-662-00,2016,4,4,20,29,36
Adventure_Sport,0.684297,20160404205022-04-00,2016,4,4,20,50,22
Adventure_Sport,0.629287,20160406061159-404-01,2016,4,6,6,11,59
Adventure_Sport,0.522839,20160407003504-41-01,2016,4,7,0,35,4
Adventure_Sport,0.520858,20160407004231-46-00,2016,4,7,0,42,31
Adventure_Sport,0.562393,20160407010203-52-00,2016,4,7,1,2,3
Adventure_Sport,0.643333,20160404195546-648-00,2016,4,4,19,55,46
Adventure_Sport,0.590078,20160404203040-664-01,2016,4,4,20,30,40
