classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
Graduation,0.89713,20160421132109-3216-00,2016,4,21,13,21,9
Graduation,0.900633,20160411154531-517-00,2016,4,11,15,45,31
Graduation,0.928416,20160415145646-1324-01,2016,4,15,14,56,46
Graduation,0.91095,20160416155609-1663-01,2016,4,16,15,56,9
Graduation,0.891945,20160420141726-2917-00,2016,4,20,14,17,26
Graduation,0.861114,20160423125411-3923-01,2016,4,23,12,54,11
Graduation,0.880578,20160423132157-3941-00,2016,4,23,13,21,57
Graduation,0.750977,20160403203613-364-01,2016,4,3,20,36,13
Graduation,0.802951,20160416130126-1575-00,2016,4,16,13,1,26
Graduation,0.818978,20160416090258-1499-00,2016,4,16,9,2,58
Graduation,0.796578,20160418175515-2410-00,2016,4,18,17,55,15
Graduation,0.857163,20160418174601-2403-00,2016,4,18,17,46,1
Graduation,0.895363,20160418180109-2415-00,2016,4,18,18,1,9
Graduation,0.849661,20160423131009-3934-01,2016,4,23,13,10,9
Graduation,0.875976,20160422154939-3594-01,2016,4,22,15,49,39
Graduation,0.871757,20160423121424-3903-01,2016,4,23,12,14,24
Graduation,0.876356,20160414125240-916-00,2016,4,14,12,52,40
Graduation,0.81284,20160415162218-1339-00,2016,4,15,16,22,18
Graduation,0.832551,20160416140427-1615-01,2016,4,16,14,4,27
Graduation,0.832435,20160416174137-1732-01,2016,4,16,17,41,37
Graduation,0.808013,20160421011039-3126-01,2016,4,21,1,10,39
Graduation,0.862298,20160419092955-2585-01,2016,4,19,9,29,55
Graduation,0.839982,20160420165648-2987-01,2016,4,20,16,56,48
Graduation,0.826949,20160421153856-3258-00,2016,4,21,15,38,56
Graduation,0.81113,20160423120816-3901-01,2016,4,23,12,8,16
Graduation,0.822464,20160403145012-257-00,2016,4,3,14,50,12
Graduation,0.670481,20160403210740-374-00,2016,4,3,21,7,40
Graduation,0.807411,20160407201930-387-01,2016,4,7,20,19,30
Graduation,0.744059,20160411140240-497-00,2016,4,11,14,2,40
Graduation,0.754672,20160413210918-715-00,2016,4,13,21,9,18
Graduation,0.827407,20160416090428-1500-00,2016,4,16,9,4,28
Graduation,0.828641,20160415155013-1333-00,2016,4,15,15,50,13
Graduation,0.797431,20160415112739-1271-00,2016,4,15,11,27,39
Graduation,0.713708,20160416135239-1611-00,2016,4,16,13,52,39
Graduation,0.641207,20160417145618-2069-00,2016,4,17,14,56,18
Graduation,0.802022,20160416155837-1667-00,2016,4,16,15,58,37
Graduation,0.840647,20160419073021-2534-01,2016,4,19,7,30,21
Graduation,0.751176,20160419093401-2590-01,2016,4,19,9,34,1
Graduation,0.824432,20160420142416-2920-01,2016,4,20,14,24,16
Graduation,0.818974,20160419072942-2533-00,2016,4,19,7,29,42
Graduation,0.698842,20160421135013-3217-00,2016,4,21,13,50,13
Graduation,0.800263,20160423121810-3905-00,2016,4,23,12,18,10
Graduation,0.84832,20160423190641-4137-00,2016,4,23,19,6,41
Graduation,0.800443,20160413083349-429-01,2016,4,13,8,33,49
Graduation,0.805853,20160413173353-661-01,2016,4,13,17,33,53
Graduation,0.743196,20160414101507-856-00,2016,4,14,10,15,7
Graduation,0.614607,20160415222201-1436-00,2016,4,15,22,22,1
Graduation,0.762451,20160416135438-1613-01,2016,4,16,13,54,38
Graduation,0.785533,20160416135525-1614-01,2016,4,16,13,55,25
Graduation,0.818069,20160415092815-1211-00,2016,4,15,9,28,15
Graduation,0.718466,20160415115307-1284-01,2016,4,15,11,53,7
Graduation,0.797509,20160416141626-1617-01,2016,4,16,14,16,26
Graduation,0.741428,20160416095931-1522-01,2016,4,16,9,59,31
Graduation,0.755662,20160416120939-1554-01,2016,4,16,12,9,39
Graduation,0.720148,20160417101010-1948-00,2016,4,17,10,10,10
Graduation,0.777763,20160417132751-2021-01,2016,4,17,13,27,51
Graduation,0.819995,20160420182344-3017-00,2016,4,20,18,23,44
Graduation,0.74779,20160420224238-3116-01,2016,4,20,22,42,38
Graduation,0.75816,20160422172227-3683-00,2016,4,22,17,22,27
Graduation,0.847955,20160422161402-3612-01,2016,4,22,16,14,2
Graduation,0.726503,20160423141044-3967-01,2016,4,23,14,10,44
Graduation,0.686793,20160423124325-3910-00,2016,4,23,12,43,25
Graduation,0.754448,20160406171412-638-00,2016,4,6,17,14,12
Graduation,0.825187,20160406142743-591-00,2016,4,6,14,27,43
Graduation,0.683697,20160413214824-721-00,2016,4,13,21,48,24
Graduation,0.796688,20160416142030-1619-00,2016,4,16,14,20,30
Graduation,0.651173,20160415233628-1458-01,2016,4,15,23,36,28
Graduation,0.646857,20160415235757-1465-00,2016,4,15,23,57,57
Graduation,0.649311,20160416203126-1808-00,2016,4,16,20,31,26
Graduation,0.600063,20160415231928-1452-00,2016,4,15,23,19,28
Graduation,0.741636,20160417103713-1960-00,2016,4,17,10,37,13
Graduation,0.73627,20160416124643-1568-00,2016,4,16,12,46,43
Graduation,0.742396,20160417105118-1969-01,2016,4,17,10,51,18
Graduation,0.683506,20160417115857-1988-00,2016,4,17,11,58,57
