day,ampm,min,max,mean,median,stdev,freq1,f1num,freq2,f2num,freq3,f3num,freq4,fnum4,freq5,fnum5
"ALL","AM","0","11","8.56984785615","9","1.72814256945","9","220","7","141","10","126","8","112","11","90"
"ALL","PM","12","23","16.8305227656","17.0","3.03450297859","18","172","17","156","12","143","14","122","20","180"
Sunday,AM,"0","11","8.76388888889","9.0","2.05475772805","10","48","9","36","8","19","11","15","7","100"
Sunday,PM,"12","22","15.9452054795","15","3.01089533382","14","43","12","30","19","29","13","28","20","140"
Monday,AM,"6","11","8.59340659341","9","1.31749030464","9","27","8","22","7","20","11","11","10","90"
Monday,PM,"12","23","17.7755102041","18","3.10101128637","18","38","22","26","16","17","14","13","12","180"
Tuesday,AM,"6","11","8.33720930233","8.0","1.27233958752","7","25","8","24","9","18","10","11","11","70"
Tuesday,PM,"12","23","17.8524590164","18.0","3.13146938523","18","50","19","43","20","37","12","29","17","180"
Wednesday,AM,"1","11","8.20218579235","9","1.87814454084","9","80","7","36","8","23","10","14","11","90"
Wednesday,PM,"12","21","15.722826087","16.0","2.32760388368","17","55","16","31","12","28","14","27","18","170"
Thursday,AM,"0","11","8.74820143885","9","1.47932283351","9","56","10","29","7","23","8","13","11","90"
Thursday,PM,"12","23","17.4318181818","18.0","2.43146414868","18","32","20","22","16","16","19","15","17","180"
Friday,AM,"6","11","8.18604651163","8","1.51359442747","7","19","10","9","8","8","11","4","6","70"
Friday,PM,"14","23","17.2195121951","17","2.06612864239","17","16","16","12","21","4","18","3","15","170"
Saturday,AM,"5","11","9.89189189189","11","1.60714256728","11","21","10","6","7","4","8","3","9","110"
Saturday,PM,"12","23","16.4383561644","16","3.2448890675","12","38","17","32","16","21","15","20","19","120"
