classifier,day,ampm,min,max,mean,median,stdev,count,freq1,f1num,freq2,f2num,freq3,f3num,freq4,fnum4,freq5,fnum5
"person","ALL","AM","0","11","8.42277992278","9.0","1.97543367846","1036","9","287","7","219","10","165","8","148","11","90"
"person","ALL","PM","12","23","17.0330982094","17","2.92156286538","1843","18","271","17","251","19","227","20","193","12","180"
"person","Sunday","AM","0","11","8.48416289593","9","2.35838215324","221","9","65","10","64","8","27","11","19","7","90"
"person","Sunday","PM","12","22","16.4260651629","17","2.99019656453","399","14","74","19","59","20","50","12","42","13","140"
"person","Monday","AM","6","11","8.48538011696","8","1.48030629495","171","7","52","8","38","9","37","11","30","10","70"
"person","Monday","PM","12","23","17.8519855596","18","2.69035676505","277","18","68","17","42","22","35","16","27","19","180"
"person","Tuesday","AM","6","11","7.90977443609","8","1.21679133467","133","7","58","8","34","9","18","10","11","11","70"
"person","Tuesday","PM","12","23","17.8524590164","18.0","3.13146938523","244","18","50","19","43","20","37","12","29","17","180"
"person","Wednesday","AM","1","11","8.20218579235","9","1.87814454084","183","9","80","7","36","8","23","10","14","11","90"
"person","Wednesday","PM","12","21","15.722826087","16.0","2.32760388368","184","17","55","16","31","12","28","14","27","18","170"
"person","Thursday","AM","0","11","8.74820143885","9","1.47932283351","139","9","56","10","29","7","23","8","13","11","90"
"person","Thursday","PM","12","23","17.9780701754","18.0","2.30073438969","228","18","60","20","35","19","31","16","27","17","180"
"person","Friday","AM","0","11","8.48514851485","9","2.62363160518","101","11","27","7","26","10","20","9","9","8","110"
"person","Friday","PM","12","23","18.0573770492","18.0","2.473794392","122","20","24","16","21","17","16","21","16","19","200"
"person","Saturday","AM","0","11","8.79545454545","9.0","2.44093448438","88","11","24","9","22","10","18","7","6","6","110"
"person","Saturday","PM","12","23","16.3033419023","17","2.98419386036","389","17","59","12","53","19","51","13","46","15","170"
