classifier,day,ampm,min,max,mean,median,stdev,count,freq1,f1num,freq2,f2num,freq3,f3num,freq4,fnum4,freq5,fnum5
"person","ALL","AM","0","47","35.683264177","36","6.95733565088","723","36","69","37","63","38","55","29","52","35","360"
"person","ALL","PM","48","95","68.7200674536","70.0","12.0526200994","1186","80","55","50","55","72","51","57","50","71","800"
"person","Sunday","AM","0","47","36.6944444444","38.0","8.33439808013","Row count: 144","42","25","37","12","36","12","35","12","30","420"
"person","Sunday","PM","48","88","65.2328767123","62","11.7308326688","Row count: 219","58","16","77","13","57","12","51","12","50","580"
"person","Monday","AM","27","45","35.8351648352","36","5.26081040066","Row count: 91","35","11","36","11","38","10","29","9","32","350"
"person","Monday","PM","48","95","72.3945578231","72","12.4570324499","Row count: 147","72","14","90","14","74","10","65","9","80","720"
"person","Tuesday","AM","25","47","34.4418604651","33.0","5.14353206659","Row count: 86","33","13","36","12","29","11","30","7","28","330"
"person","Tuesday","PM","48","93","72.8729508197","75.0","12.153907399","Row count: 244","50","23","80","22","75","18","92","15","74","500"
"person","Wednesday","AM","5","47","34.2459016393","36","7.5689668489","Row count: 183","37","33","36","21","28","15","38","15","39","370"
"person","Wednesday","PM","48","84","64.1086956522","67.0","9.43508314488","Row count: 184","70","18","57","18","69","15","65","13","68","700"
"person","Thursday","AM","3","46","36.3525179856","38","5.76127397651","Row count: 139","38","19","37","13","39","12","36","12","28","380"
"person","Thursday","PM","48","92","71.2424242424","72.0","9.76474891617","Row count: 132","72","13","81","10","74","9","71","9","64","720"
"person","Friday","AM","26","46","33.9534883721","32","6.05384171078","Row count: 43","28","7","29","6","40","6","31","4","43","280"
"person","Friday","PM","56","93","70.1707317073","68","8.21332183481","Row count: 41","68","9","67","8","70","4","56","2","84","680"
"person","Saturday","AM","21","47","40.8648648649","44","6.7430130492","Row count: 37","46","6","45","6","47","5","44","4","40","460"
"person","Saturday","PM","48","94","67.196347032","67","13.0608965473","Row count: 219","60","15","50","14","79","13","66","11","52","600"
