interval,day,week,classifier,score
84,Saturday,13,person,0.28905
85,Saturday,13,person,0.331812
93,Saturday,13,person,0.5
85,Saturday,13,person,0.377541
83,Saturday,13,person,0.989013
30,Sunday,14,person,0.268941
30,Sunday,14,person,0.880797
94,Saturday,13,person,0.377541
94,Saturday,13,person,0.310026
30,Sunday,14,person,0.985226
32,Sunday,14,person,0.989013
94,Saturday,13,person,0.401312
84,Saturday,13,person,0.450166
32,Sunday,14,person,0.98016
35,Sunday,14,person,0.549834
35,Sunday,14,person,0.598688
36,Sunday,14,person,0.731059
36,Sunday,14,person,0.845535
93,Saturday,13,person,0.908877
30,Sunday,14,person,0.982014
35,Sunday,14,person,0.354344
35,Sunday,14,person,0.310026
36,Sunday,14,person,0.450166
94,Saturday,13,person,0.475021
35,Sunday,14,person,0.549834
39,Sunday,14,person,0.5
36,Sunday,14,person,0.75026
36,Sunday,14,person,0.524979
30,Sunday,14,person,0.832018
37,Sunday,14,person,0.377541
34,Sunday,14,person,0.28905
35,Sunday,14,person,0.574443
36,Sunday,14,person,0.401312
35,Sunday,14,person,0.28905
39,Sunday,14,person,0.549834
40,Sunday,14,person,0.710949
37,Sunday,14,person,0.354344
35,Sunday,14,person,0.354344
37,Sunday,14,person,0.331812
38,Sunday,14,person,0.310026
42,Sunday,14,person,0.731059
40,Sunday,14,person,0.310026
43,Sunday,14,person,0.858149
35,Sunday,14,person,0.524979
43,Sunday,14,person,0.995033
37,Sunday,14,person,0.401312
36,Sunday,14,person,0.785835
42,Sunday,14,person,0.960834
35,Sunday,14,person,0.475021
38,Sunday,14,person,0.574443
39,Sunday,14,person,0.475021
36,Sunday,14,person,0.598688
50,Sunday,14,person,0.354344
42,Sunday,14,person,0.956893
35,Sunday,14,person,0.785835
37,Sunday,14,person,0.998167
37,Sunday,14,person,0.930862
50,Sunday,14,person,0.817574
40,Sunday,14,person,0.731059
50,Sunday,14,person,0.377541
38,Sunday,14,person,0.524979
37,Sunday,14,person,0.377541
35,Sunday,14,person,0.549834
39,Sunday,14,person,0.5
37,Sunday,14,person,0.331812
43,Sunday,14,person,0.869892
51,Sunday,14,person,0.5
41,Sunday,14,person,0.331812
36,Sunday,14,person,0.524979
41,Sunday,14,person,0.990987
37,Sunday,14,person,0.377541
