classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
person,0.989013,20160402205530-10-00,2016,04,02,20,55,30
person,0.331812,20160402211908-20-01,2016,04,02,21,19,08
person,0.377541,20160402211831-19-00,2016,04,02,21,18,31
person,0.28905,20160402210313-13-00,2016,04,02,21,03,13
person,0.5,20160402232907-37-00,2016,04,02,23,29,07
person,0.377541,20160402233733-41-01,2016,04,02,23,37,33
person,0.310026,20160402233650-40-00,2016,04,02,23,36,50
person,0.268941,20160403073617-50-01,2016,04,03,07,36,17
person,0.880797,20160403073552-49-00,2016,04,03,07,35,52
person,0.985226,20160403074001-54-00,2016,04,03,07,40,01
person,0.401312,20160402233842-43-01,2016,04,02,23,38,42
person,0.450166,20160402211313-18-00,2016,04,02,21,13,13
person,0.549834,20160403085010-74-00,2016,04,03,08,50,10
person,0.845535,20160403090456-88-01,2016,04,03,09,04,56
person,0.98016,20160403080303-65-00,2016,04,03,08,03,03
person,0.354344,20160403085212-76-00,2016,04,03,08,52,12
person,0.450166,20160403090830-91-01,2016,04,03,09,08,30
person,0.989013,20160403080543-66-00,2016,04,03,08,05,43
person,0.549834,20160403085510-78-00,2016,04,03,08,55,10
person,0.731059,20160403091004-92-00,2016,04,03,09,10,04
person,0.75026,20160403090534-89-00,2016,04,03,09,05,34
person,0.982014,20160403073929-53-00,2016,04,03,07,39,29
person,0.908877,20160402232805-36-00,2016,04,02,23,28,05
person,0.598688,20160403084903-73-01,2016,04,03,08,49,03
person,0.28905,20160403085553-79-00,2016,04,03,08,55,53
person,0.710949,20160403100744-121-01,2016,04,03,10,07,44
person,0.377541,20160403092159-102-00,2016,04,03,09,21,59
person,0.475021,20160402233813-42-01,2016,04,02,23,38,13
person,0.354344,20160403085632-82-00,2016,04,03,08,56,32
person,0.310026,20160403085604-80-00,2016,04,03,08,56,04
person,0.5,20160403095446-116-01,2016,04,03,09,54,46
person,0.475021,20160403085823-83-00,2016,04,03,08,58,23
person,0.574443,20160403084517-70-00,2016,04,03,08,45,17
person,0.832018,20160403073856-52-00,2016,04,03,07,38,56
person,0.28905,20160403084428-69-00,2016,04,03,08,44,28
