interval,day,classifier,score
83,Saturday,person,0.989013
84,Saturday,person,0.28905
84,Saturday,person,0.450166
85,Saturday,person,0.377541
85,Saturday,person,0.331812
93,Saturday,person,0.908877
93,Saturday,person,0.5
94,Saturday,person,0.310026
94,Saturday,person,0.377541
94,Saturday,person,0.475021
94,Saturday,person,0.401312
30,Sunday,person,0.880797
30,Sunday,person,0.268941
30,Sunday,person,0.832018
30,Sunday,person,0.982014
30,Sunday,person,0.985226
32,Sunday,person,0.98016
32,Sunday,person,0.989013
34,Sunday,person,0.28905
35,Sunday,person,0.574443
35,Sunday,person,0.598688
35,Sunday,person,0.549834
35,Sunday,person,0.785835
35,Sunday,person,0.354344
35,Sunday,person,0.549834
35,Sunday,person,0.549834
35,Sunday,person,0.28905
35,Sunday,person,0.310026
35,Sunday,person,0.524979
35,Sunday,person,0.354344
35,Sunday,person,0.475021
36,Sunday,person,0.524979
36,Sunday,person,0.785835
36,Sunday,person,0.845535
36,Sunday,person,0.75026
36,Sunday,person,0.524979
36,Sunday,person,0.450166
36,Sunday,person,0.731059
36,Sunday,person,0.598688
36,Sunday,person,0.401312
37,Sunday,person,0.930862
37,Sunday,person,0.998167
37,Sunday,person,0.377541
37,Sunday,person,0.354344
37,Sunday,person,0.401312
37,Sunday,person,0.331812
37,Sunday,person,0.377541
37,Sunday,person,0.401312
37,Sunday,person,0.377541
37,Sunday,person,0.331812
38,Sunday,person,0.574443
38,Sunday,person,0.524979
38,Sunday,person,0.310026
39,Sunday,person,0.998887
39,Sunday,person,0.475021
39,Sunday,person,0.5
39,Sunday,person,0.549834
39,Sunday,person,0.5
40,Sunday,person,0.645656
40,Sunday,person,0.310026
40,Sunday,person,0.710949
40,Sunday,person,0.731059
41,Sunday,person,0.450166
41,Sunday,person,0.331812
41,Sunday,person,0.990987
42,Sunday,person,0.999325
42,Sunday,person,0.731059
42,Sunday,person,0.802184
42,Sunday,person,0.802184
42,Sunday,person,0.970688
42,Sunday,person,0.890903
42,Sunday,person,0.960834
42,Sunday,person,0.995504
42,Sunday,person,0.960834
42,Sunday,person,0.956893
42,Sunday,person,0.858149
42,Sunday,person,0.997527
42,Sunday,person,0.986613
42,Sunday,person,0.975873
42,Sunday,person,0.832018
43,Sunday,person,0.869892
43,Sunday,person,0.858149
43,Sunday,person,0.997975
43,Sunday,person,0.916827
43,Sunday,person,0.890903
43,Sunday,person,0.995033
43,Sunday,person,0.908877
47,Sunday,person,0.999629
47,Sunday,person,0.817574
47,Sunday,person,0.377541
47,Sunday,person,0.710949
47,Sunday,person,0.331812
49,Sunday,person,0.401312
49,Sunday,person,0.890903
49,Sunday,person,0.916827
49,Sunday,person,0.524979
50,Sunday,person,0.817574
50,Sunday,person,0.354344
50,Sunday,person,0.331812
50,Sunday,person,0.645656
50,Sunday,person,0.916827
50,Sunday,person,0.310026
50,Sunday,person,0.377541
50,Sunday,person,0.930862
50,Sunday,person,0.858149
51,Sunday,person,0.331812
51,Sunday,person,0.5
51,Sunday,person,0.991837
51,Sunday,person,0.999176
51,Sunday,person,0.354344
51,Sunday,person,0.622459
52,Sunday,person,0.5
52,Sunday,person,0.425557
53,Sunday,person,0.668188
53,Sunday,person,0.524979
53,Sunday,person,0.645656
54,Sunday,person,0.598688
54,Sunday,person,0.28905
54,Sunday,person,0.401312
55,Sunday,person,0.377541
55,Sunday,person,0.997268
55,Sunday,person,0.999447
55,Sunday,person,0.450166
55,Sunday,person,0.354344
56,Sunday,person,0.354344
56,Sunday,person,0.331812
56,Sunday,person,0.268941
56,Sunday,person,0.268941
57,Sunday,person,0.996982
57,Sunday,person,0.98016
57,Sunday,person,0.268941
57,Sunday,person,0.999176
58,Sunday,person,0.75026
58,Sunday,person,0.999447
58,Sunday,person,0.990987
58,Sunday,person,0.998167
58,Sunday,person,0.999176
58,Sunday,person,0.998887
58,Sunday,person,0.268941
59,Sunday,person,0.999325
59,Sunday,person,0.999254
59,Sunday,person,0.999447
59,Sunday,person,0.475021
59,Sunday,person,0.598688
61,Sunday,person,0.475021
61,Sunday,person,0.956893
61,Sunday,person,0.401312
61,Sunday,person,0.731059
62,Sunday,person,0.645656
62,Sunday,person,0.997762
62,Sunday,person,0.5
62,Sunday,person,0.996665
62,Sunday,person,0.999325
62,Sunday,person,0.5
62,Sunday,person,0.817574
62,Sunday,person,0.425557
63,Sunday,person,0.268941
63,Sunday,person,0.817574
63,Sunday,person,0.998771
63,Sunday,person,0.997268
63,Sunday,person,0.999176
63,Sunday,person,0.999254
63,Sunday,person,0.574443
64,Sunday,person,0.450166
64,Sunday,person,0.817574
64,Sunday,person,0.28905
68,Sunday,person,0.997975
70,Sunday,person,0.268941
70,Sunday,person,0.28905
72,Sunday,person,0.331812
72,Sunday,person,0.75026
72,Sunday,person,0.996982
72,Sunday,person,0.880797
72,Sunday,person,0.999089
72,Sunday,person,0.598688
