colnum,colname,min,max,sum,mean,median,stdev,nulls,unique,freq,len
1,id,"20160402200334-01-00","20160411170157-524-01","None","None","None","None","False","2997","{ 20160409173331-169-00: 1, 20160407165359-289-00: 1, 20160405124001-230-01: 1, 20160409151346-103-00: 1, 20160403070244-47-01: 1 }","21"
2,key,"20160402200334-01-00","20160411170157-524-01","None","None","None","None","False","2997","{ 20160409173331-169-00: 1, 20160407165359-289-00: 1, 20160405124001-230-01: 1, 20160409151346-103-00: 1, 20160403070244-47-01: 1 }","21"
3,value/rev,"1-002cf71d49cbafc4b83c29c300a547ba","1-fff1df0aa49bb898f43a8ec1d700c21f","None","None","None","None","False","2997","{ 1-dcf7bb9fe6004d831ff0c4e7d66a8e2a: 1, 1-d0a4a377148d771050757f5d1708d955: 1, 1-5fa01149b33f5deb599ecc34a6c6610a: 1, 1-86a745807cd0bec2b5b4e7d12b5441e3: 1, 1-94e24a04732a593d2b32fb22eecd8c9a: 1 }","34"
4,doc/_id,"20160402200334-01-00","20160411170157-524-01","None","None","None","None","False","2997","{ 20160409173331-169-00: 1, 20160407165359-289-00: 1, 20160405124001-230-01: 1, 20160409151346-103-00: 1, 20160403070244-47-01: 1 }","21"
5,doc/_rev,"1-002cf71d49cbafc4b83c29c300a547ba","1-fff1df0aa49bb898f43a8ec1d700c21f","None","None","None","None","False","2997","{ 1-dcf7bb9fe6004d831ff0c4e7d66a8e2a: 1, 1-d0a4a377148d771050757f5d1708d955: 1, 1-5fa01149b33f5deb599ecc34a6c6610a: 1, 1-86a745807cd0bec2b5b4e7d12b5441e3: 1, 1-94e24a04732a593d2b32fb22eecd8c9a: 1 }","34"
6,doc/year,"2016","2016","6041952","2016.0","2016","0.0","False","1","{ 2016: 2997 }","None"
7,doc/month,"4","4","11988","4.0","4","0.0","False","1","{ 4: 2997 }","None"
8,doc/day,"2","11","20410","6.81014347681","7","2.52137817354","False","10","{ 9: 403, 10: 401, 7: 373, 3: 333, 4: 330 }","None"
9,doc/hour,"0","23","40694","13.5782449116","14","5.1364076168","False","24","{ 9: 234, 17: 216, 7: 209, 10: 204, 18: 202 }","None"
10,doc/minute,"0","59","86534","28.8735402069","29","17.4078926153","False","60","{ 14: 69, 44: 67, 4: 65, 3: 61, 10: 61 }","None"
11,doc/second,"0","59","89705","29.9315982649","30","17.1063229684","False","60","{ 46: 72, 1: 66, 31: 63, 49: 61, 41: 60 }","None"
12,doc/imagebox,"1001-01-01","9801-01-01","None","None","None","None","False","72","{ 3601-01-01: 120, 5201-01-01: 113, 4401-01-01: 102, 6301-01-01: 99, 4001-01-01: 97 }","None"
13,doc/alchemy/text,"NO_TAGS","window","None","None","None","None","False","11","{ NO_TAGS: 1575, person: 1390, abandoned: 7, night: 7, kitchen: 5 }","9"
14,doc/alchemy/score,"0.268941","0.999629","882.450502","0.620569973277","0.574443","0.26089114323","True","89","{ 0.310026: 75, 0.331812: 73, 0.28905: 70, 0.268941: 70, 0.354344: 63 }","None"
15,doc/visual/image,"20160402200334-01-00.jpg","20160411170157-524-01.jpg","None","None","None","None","False","2997","{ 20160404155220-564-00.jpg: 1, 20160403144201-246-00.jpg: 1, 20160408081154-496-00.jpg: 1, 20160409121739-23-01.jpg: 1, 20160403073617-50-01.jpg: 1 }","25"
16,doc/visual/scores/0/classifier_id,"Archery","Yellow","None","None","None","None","False","27","{ Mixed_Color: 1765, Stove: 842, Dish_Washer: 115, Microwave: 68, Prison: 46 }","18"
17,doc/visual/scores/0/name,"Archery","Yellow","None","None","None","None","False","27","{ Mixed_Color: 1765, Stove: 842, Dish_Washer: 115, Microwave: 68, Prison: 46 }","18"
18,doc/visual/scores/0/score,"0.688799","0.976664","2870.649904","0.957841142476","0.965788","0.0222552249545","False","2838","{ 0.972358: 4, 0.955976: 4, 0.971207: 4, 0.969532: 3, 0.970217: 3 }","None"
19,doc/visual/scores/1/classifier_id,"Adventure_Sport","Yellow","None","None","None","None","True","51","{ Stove: 1280, Dish_Washer: 549, Mixed_Color: 428, Oven: 196, Microwave: 132 }","27"
20,doc/visual/scores/1/name,"Adventure_Sport","Yellow","None","None","None","None","True","51","{ Stove: 1280, Dish_Washer: 549, Mixed_Color: 428, Oven: 196, Microwave: 132 }","27"
21,doc/visual/scores/1/score,"0.607414","0.973351","2814.9588","0.939886076795","0.951809","0.0343162865549","True","2912","{ 0.957938: 3, 0.961265: 3, 0.951109: 2, 0.939285: 2, 0.893352: 2 }","None"
22,doc/visual/scores/2/classifier_id,"Adventure_Sport","Zoo","None","None","None","None","True","76","{ Dish_Washer: 852, Oven: 596, Stove: 464, Microwave: 276, Mixed_Color: 88 }","27"
23,doc/visual/scores/2/name,"Adventure_Sport","Zoo","None","None","None","None","True","76","{ Dish_Washer: 852, Oven: 596, Stove: 464, Microwave: 276, Mixed_Color: 88 }","27"
24,doc/visual/scores/2/score,"0.592738","0.968661","2761.818136","0.92214295025","0.936158","0.0402035964434","True","2942","{ 0.950325: 3, 0.951969: 2, 0.953197: 2, 0.955901: 2, 0.938413: 2 }","None"
25,doc/visual/scores/3/classifier_id,"Adventure_Sport","Yellow","None","None","None","None","True","89","{ Oven: 696, Dish_Washer: 530, Microwave: 421, Stove: 188, Pubbing: 118 }","27"
26,doc/visual/scores/3/name,"Adventure_Sport","Yellow","None","None","None","None","True","89","{ Oven: 696, Dish_Washer: 530, Microwave: 421, Stove: 188, Pubbing: 118 }","27"
27,doc/visual/scores/3/score,"0.589499","0.963703","2709.697535","0.904740412354","0.920085","0.0460900024585","True","2951","{ 0.933533: 3, 0.925203: 2, 0.920355: 2, 0.927531: 2, 0.939387: 2 }","None"
28,doc/visual/scores/4/classifier_id,"Adventure_Sport","Zoo","None","None","None","None","True","98","{ Microwave: 572, Oven: 481, Dish_Washer: 241, Pubbing: 233, Control_Room: 223 }","27"
29,doc/visual/scores/4/name,"Adventure_Sport","Zoo","None","None","None","None","True","98","{ Microwave: 572, Oven: 481, Dish_Washer: 241, Pubbing: 233, Control_Room: 223 }","27"
30,doc/visual/scores/4/score,"0.569607","0.957032","2647.008511","0.883809185643","0.900279","0.0511228740757","True","2951","{ 0.906758: 2, 0.895771: 2, 0.92425: 2, 0.919756: 2, 0.84041: 2 }","None"
31,doc/visual/scores/5/classifier_id,"Adventure_Sport","Zoo","None","None","None","None","True","119","{ Control_Room: 577, Pubbing: 465, Microwave: 232, Oven: 195, Engine_or_Control_Room: 150 }","27"
32,doc/visual/scores/5/name,"Adventure_Sport","Zoo","None","None","None","None","True","119","{ Control_Room: 577, Pubbing: 465, Microwave: 232, Oven: 195, Engine_or_Control_Room: 150 }","27"
33,doc/visual/scores/5/score,"0.54401","0.942116","2562.556003","0.855611353255","0.869585","0.0555326677083","True","2964","{ 0.880991: 4, 0.90573: 3, 0.912264: 2, 0.900972: 2, 0.904634: 2 }","None"
34,doc/visual/scores/6/classifier_id,"Adventure_Sport","Yellow","None","None","None","None","True","126","{ Control_Room: 448, Pubbing: 330, Stockroom: 307, Engine_or_Control_Room: 262, Archery: 202 }","27"
35,doc/visual/scores/6/name,"Adventure_Sport","Yellow","None","None","None","None","True","126","{ Control_Room: 448, Pubbing: 330, Stockroom: 307, Engine_or_Control_Room: 262, Archery: 202 }","27"
36,doc/visual/scores/6/score,"0.523866","0.923982","2467.963279","0.824303032398","0.8363485","0.0595879634778","True","2971","{ 0.895511: 3, 0.846922: 2, 0.885678: 2, 0.878846: 2, 0.831334: 2 }","None"
37,doc/visual/scores/7/classifier_id,"Adventure_Sport","Zoo","None","None","None","None","True","142","{ Stockroom: 460, Engine_or_Control_Room: 256, Pubbing: 244, Control_Room: 243, Archery: 185 }","27"
38,doc/visual/scores/7/name,"Adventure_Sport","Zoo","None","None","None","None","True","142","{ Stockroom: 460, Engine_or_Control_Room: 256, Pubbing: 244, Control_Room: 243, Archery: 185 }","27"
39,doc/visual/scores/7/score,"0.538651","0.911824","2376.035089","0.793864045773","0.806264","0.062767128357","True","2974","{ 0.777533: 2, 0.81872: 2, 0.842485: 2, 0.822567: 2, 0.826709: 2 }","None"
40,doc/visual/scores/8/classifier_id,"Adventure_Sport","Zoo","None","None","None","None","True","145","{ Stockroom: 419, Engine_or_Control_Room: 234, Beauty_Salon: 227, Archery: 176, Control_Room: 157 }","27"
41,doc/visual/scores/8/name,"Adventure_Sport","Zoo","None","None","None","None","True","145","{ Stockroom: 419, Engine_or_Control_Room: 234, Beauty_Salon: 227, Archery: 176, Control_Room: 157 }","27"
42,doc/visual/scores/8/score,"0.503982","0.898965","2283.535271","0.763979682503","0.776789","0.0667737743062","True","2971","{ 0.843888: 2, 0.757098: 2, 0.774151: 2, 0.836088: 2, 0.763843: 2 }","None"
43,doc/visual/scores/9/classifier_id,"Adventure_Sport","Yellow","None","None","None","None","True","151","{ Stockroom: 272, Beauty_Salon: 218, Engine_or_Control_Room: 202, Archery: 190, Riot: 159 }","27"
44,doc/visual/scores/9/name,"Adventure_Sport","Yellow","None","None","None","None","True","151","{ Stockroom: 272, Beauty_Salon: 218, Engine_or_Control_Room: 202, Archery: 190, Riot: 159 }","27"
45,doc/visual/scores/9/score,"0.502814","0.887649","2188.653492","0.733217250251","0.742757","0.0707929275527","True","2968","{ 0.784679: 2, 0.785274: 2, 0.769402: 2, 0.746266: 2, 0.810914: 2 }","None"
46,doc/visual/scores/10/classifier_id,"Adventure_Sport","Zoo","None","None","None","None","True","155","{ Archery: 206, Stockroom: 189, Engine_or_Control_Room: 173, Pubbing: 168, Beauty_Salon: 167 }","27"
47,doc/visual/scores/10/name,"Adventure_Sport","Zoo","None","None","None","None","True","155","{ Archery: 206, Stockroom: 189, Engine_or_Control_Room: 173, Pubbing: 168, Beauty_Salon: 167 }","27"
48,doc/visual/scores/10/score,"0.500361","0.875153","2086.815511","0.701450591933","0.707","0.0713657017144","True","2960","{ 0.703611: 2, 0.689277: 2, 0.678865: 2, 0.678288: 2, 0.58223: 2 }","None"
49,doc/visual/scores/11/classifier_id,"Adult","Yellow","None","None","None","None","True","155","{ Archery: 196, Riot: 195, Engine_or_Control_Room: 177, Pubbing: 136, Big_Group: 115 }","27"
50,doc/visual/scores/11/name,"Adult","Yellow","None","None","None","None","True","155","{ Archery: 196, Riot: 195, Engine_or_Control_Room: 177, Pubbing: 136, Big_Group: 115 }","27"
51,doc/visual/scores/11/score,"0.500236","0.852225","1959.929048","0.667096340368","0.668116","0.0688209856834","True","2919","{ 0.715166: 2, 0.620064: 2, 0.675013: 2, 0.662239: 2, 0.593567: 2 }","None"
52,doc/visual/scores/12/classifier_id,"Adult","Yellow","None","None","None","None","True","158","{ Archery: 208, Engine_or_Control_Room: 162, Riot: 141, Big_Group: 133, Pubbing: 116 }","27"
53,doc/visual/scores/12/name,"Adult","Yellow","None","None","None","None","True","158","{ Archery: 208, Engine_or_Control_Room: 162, Riot: 141, Big_Group: 133, Pubbing: 116 }","27"
54,doc/visual/scores/12/score,"0.500197","0.833018","1808.383178","0.629659880919","0.6271845","0.0650204350384","True","2857","{ 0.705707: 2, 0.65969: 2, 0.615389: 2, 0.634257: 2, 0.624984: 2 }","None"
55,doc/visual/scores/13/classifier_id,"Adult","Yellow","None","None","None","None","True","157","{ Archery: 153, Appliance: 153, Riot: 151, Engine_or_Control_Room: 137, Industrial_Space: 120 }","27"
56,doc/visual/scores/13/name,"Adult","Yellow","None","None","None","None","True","157","{ Archery: 153, Appliance: 153, Riot: 151, Engine_or_Control_Room: 137, Industrial_Space: 120 }","27"
57,doc/visual/scores/13/score,"0.500525","0.809972","1624.16896","0.598220611418","0.593335","0.0577314522367","True","2695","{ 0.53161: 2, 0.613835: 2, 0.599571: 2, 0.607118: 2, 0.634905: 2 }","None"
58,doc/visual/scores/14/classifier_id,"Adult","Yellow","None","None","None","None","True","139","{ Appliance: 272, Whiskey: 138, Industrial_Space: 121, Archery: 105, Riot: 95 }","27"
59,doc/visual/scores/14/name,"Adult","Yellow","None","None","None","None","True","139","{ Appliance: 272, Whiskey: 138, Industrial_Space: 121, Archery: 105, Riot: 95 }","27"
60,doc/visual/scores/14/score,"0.5001","0.7616","1387.155507","0.572495050351","0.565668","0.0500782940879","True","2409","{ 0.573325: 2, 0.604867: 2, 0.569347: 2, 0.525183: 2, 0.530503: 2 }","None"
61,doc/visual/scores/15/classifier_id,"Adult","Yellow","None","None","None","None","True","120","{ Appliance: 293, Whiskey: 173, Store: 88, Tool: 72, Industrial_Space: 68 }","27"
62,doc/visual/scores/15/name,"Adult","Yellow","None","None","None","None","True","120","{ Appliance: 293, Whiskey: 173, Store: 88, Tool: 72, Industrial_Space: 68 }","27"
63,doc/visual/scores/15/score,"0.500007","0.725095","1093.79582","0.554663194726","0.5433135","0.0414424745636","True","1961","{ 0.559787: 2, 0.613515: 2, 0.569233: 2, 0.511365: 2, 0.510373: 2 }","None"
64,doc/visual/scores/16/classifier_id,"Adult","Yellow","None","None","None","None","True","106","{ Appliance: 278, Whiskey: 116, Store: 79, Restaurant: 58, Eatery_Space: 49 }","22"
65,doc/visual/scores/16/name,"Adult","Yellow","None","None","None","None","True","106","{ Appliance: 278, Whiskey: 116, Store: 79, Restaurant: 58, Eatery_Space: 49 }","22"
66,doc/visual/scores/16/score,"0.500013","0.724743","794.181691","0.543215930917","0.532663","0.0344916015969","True","1450","{ 0.523212: 2, 0.518007: 2, 0.511235: 2, 0.533684: 2, 0.591786: 2 }","None"
67,doc/visual/scores/17/classifier_id,"Adult","Yellow","None","None","None","None","True","101","{ Appliance: 178, Whiskey: 74, Store: 48, Eatery_Space: 39, Restaurant: 38 }","22"
68,doc/visual/scores/17/name,"Adult","Yellow","None","None","None","None","True","101","{ Appliance: 178, Whiskey: 74, Store: 48, Eatery_Space: 39, Restaurant: 38 }","22"
69,doc/visual/scores/17/score,"0.500109","0.633296","509.965174","0.534554689727","0.5264195","0.0283676477194","True","950","{ 0.516395: 2, 0.603296: 2, 0.520907: 2, 0.536653: 2, 0.576075: 1 }","None"
70,doc/visual/scores/18/classifier_id,"Adult","Yellow","None","None","None","None","True","76","{ Appliance: 98, Whiskey: 49, Store: 36, Eatery_Space: 22, Riot: 17 }","22"
